circuit_index,noisy_counts,ideal_counts
4,"{""000"": 969, ""100"": 14, ""001"": 10, ""010"": 5, ""110"": 1, ""101"": 1}","{""000"": 1000}"
5,"{""000"": 882, ""100"": 14, ""010"": 83, ""001"": 14, ""011"": 2, ""101"": 4, ""110"": 1}","{""000"": 918, ""010"": 82}"
7,"{""10"": 858, ""00"": 131, ""11"": 5, ""01"": 6}","{""10"": 894, ""00"": 106}"
10,"{""00"": 507, ""01"": 483, ""11"": 7, ""10"": 3}","{""00"": 505, ""01"": 495}"
11,"{""00"": 508, ""10"": 482, ""01"": 5, ""11"": 5}","{""00"": 493, ""10"": 499, ""11"": 6, ""01"": 2}"
12,"{""011"": 677, ""010"": 303, ""001"": 13, ""000"": 2, ""110"": 3, ""111"": 2}","{""011"": 717, ""010"": 278, ""001"": 3, ""000"": 2}"
13,"{""000"": 881, ""001"": 22, ""100"": 16, ""010"": 30, ""111"": 26, ""101"": 8, ""011"": 12, ""110"": 5}","{""000"": 1000}"
14,"{""10"": 493, ""00"": 498, ""11"": 6, ""01"": 3}","{""00"": 496, ""10"": 504}"
15,"{""101"": 229, ""010"": 11, ""110"": 246, ""111"": 226, ""100"": 259, ""001"": 6, ""000"": 10, ""011"": 13}","{""110"": 254, ""101"": 234, ""100"": 272, ""111"": 240}"
18,"{""01000"": 12, ""00000"": 882, ""10000"": 11, ""00001"": 40, ""00010"": 23, ""00100"": 9, ""00101"": 10, ""00011"": 2, ""10001"": 1, ""01010"": 1, ""00111"": 2, ""01101"": 1, ""10101"": 2, ""11000"": 1, ""01001"": 1, ""10010"": 1, ""10011"": 1}","{""00000"": 1000}"
19,"{""1000"": 7, ""0000"": 932, ""0110"": 4, ""0100"": 11, ""0001"": 10, ""0010"": 34, ""0011"": 1, ""0101"": 1}","{""0000"": 1000}"
21,"{""000"": 165, ""101"": 425, ""100"": 224, ""001"": 113, ""011"": 7, ""110"": 22, ""010"": 11, ""111"": 33}","{""101"": 453, ""100"": 233, ""011"": 5, ""001"": 91, ""000"": 181, ""110"": 13, ""111"": 19, ""010"": 5}"
23,"{""1000"": 24, ""0000"": 887, ""1010"": 7, ""0001"": 42, ""0010"": 17, ""0100"": 12, ""1100"": 2, ""0011"": 3, ""0110"": 1, ""1110"": 1, ""1001"": 3, ""0101"": 1}","{""0000"": 1000}"
27,"{""1000"": 250, ""0000"": 258, ""1101"": 31, ""0100"": 125, ""0001"": 50, ""1001"": 75, ""1100"": 143, ""0101"": 44, ""1110"": 3, ""0010"": 9, ""1011"": 2, ""1010"": 4, ""0110"": 3, ""0011"": 3}","{""1000"": 244, ""0000"": 246, ""0101"": 44, ""1100"": 157, ""1101"": 38, ""0100"": 167, ""0001"": 48, ""1001"": 56}"
30,"{""01000"": 8, ""00000"": 880, ""10000"": 8, ""00001"": 35, ""00010"": 39, ""00100"": 13, ""00110"": 5, ""00101"": 5, ""10001"": 3, ""11000"": 1, ""01001"": 1, ""10010"": 1, ""11001"": 1}","{""00000"": 991, ""00110"": 6, ""00101"": 3}"
31,"{""00"": 916, ""01"": 78, ""10"": 5, ""11"": 1}","{""00"": 942, ""01"": 58}"
37,"{""00"": 989, ""10"": 7, ""01"": 4}","{""00"": 1000}"
38,"{""00100"": 765, ""00101"": 18, ""11101"": 7, ""10100"": 89, ""00110"": 33, ""11100"": 18, ""00011"": 16, ""10110"": 5, ""00000"": 13, ""01100"": 7, ""00001"": 10, ""11011"": 4, ""10001"": 3, ""00010"": 4, ""10011"": 3, ""01011"": 1, ""10000"": 1, ""10010"": 1, ""11110"": 1, ""10101"": 1}","{""00100"": 1000}"
39,"{""00"": 365, ""01"": 155, ""10"": 139, ""11"": 341}","{""00"": 387, ""11"": 345, ""01"": 122, ""10"": 146}"
40,"{""1000"": 22, ""0000"": 452, ""0100"": 451, ""1001"": 6, ""0001"": 11, ""1110"": 1, ""0101"": 14, ""1100"": 22, ""1101"": 10, ""0110"": 5, ""0010"": 4, ""1010"": 2}","{""0000"": 500, ""0100"": 500}"
41,"{""1000"": 27, ""0000"": 901, ""0001"": 14, ""1001"": 4, ""1010"": 4, ""0100"": 19, ""0010"": 18, ""1100"": 4, ""0110"": 4, ""0011"": 3, ""0101"": 2}","{""0000"": 1000}"
43,"{""00"": 496, ""10"": 501, ""01"": 3}","{""10"": 492, ""00"": 508}"
44,"{""11"": 964, ""10"": 24, ""00"": 7, ""01"": 5}","{""11"": 991, ""00"": 9}"
45,"{""000"": 629, ""100"": 299, ""110"": 18, ""010"": 42, ""001"": 7, ""011"": 3, ""101"": 1, ""111"": 1}","{""000"": 688, ""100"": 312}"
46,"{""1000"": 404, ""0000"": 399, ""1100"": 2, ""0011"": 71, ""1011"": 65, ""0001"": 8, ""1010"": 20, ""0100"": 5, ""0010"": 17, ""1001"": 6, ""1110"": 3}","{""1000"": 454, ""0000"": 420, ""0011"": 64, ""1011"": 62}"
48,"{""001"": 469, ""101"": 509, ""111"": 5, ""000"": 5, ""011"": 4, ""100"": 6, ""110"": 1, ""010"": 1}","{""101"": 527, ""001"": 473}"
49,"{""11"": 199, ""00"": 294, ""01"": 193, ""10"": 314}","{""00"": 326, ""10"": 283, ""01"": 197, ""11"": 194}"
50,"{""01000"": 23, ""00000"": 878, ""00100"": 13, ""01001"": 8, ""01010"": 2, ""10000"": 15, ""00001"": 17, ""00010"": 41, ""00011"": 2, ""01101"": 1}","{""00000"": 995, ""10000"": 5}"
53,"{""1111"": 61, ""0110"": 264, ""0111"": 249, ""0011"": 130, ""1011"": 36, ""0010"": 138, ""1010"": 20, ""1110"": 66, ""0001"": 9, ""1000"": 2, ""0101"": 11, ""0100"": 8, ""1001"": 2, ""1100"": 3, ""1101"": 1}","{""0010"": 132, ""1111"": 70, ""0110"": 253, ""0011"": 150, ""1110"": 57, ""0111"": 268, ""0001"": 5, ""1010"": 28, ""1011"": 22, ""1001"": 1, ""0101"": 6, ""0100"": 4, ""1100"": 1, ""1101"": 1, ""0000"": 2}"
54,"{""000"": 904, ""010"": 17, ""001"": 8, ""111"": 9, ""011"": 18, ""100"": 26, ""110"": 10, ""101"": 8}","{""000"": 1000}"
57,"{""000"": 905, ""001"": 16, ""010"": 14, ""100"": 46, ""111"": 1, ""110"": 5, ""011"": 12, ""101"": 1}","{""000"": 1000}"
58,"{""0101"": 641, ""1101"": 1, ""0100"": 333, ""0000"": 10, ""0111"": 4, ""0001"": 10, ""0110"": 1}","{""0101"": 663, ""0100"": 337}"
59,"{""00"": 987, ""01"": 11, ""10"": 2}","{""00"": 1000}"
60,"{""011"": 3, ""101"": 210, ""000"": 759, ""111"": 1, ""001"": 15, ""010"": 7, ""100"": 5}","{""000"": 793, ""101"": 207}"
61,"{""011"": 962, ""111"": 8, ""010"": 9, ""001"": 21}","{""011"": 985, ""001"": 15}"
62,"{""000"": 811, ""001"": 181, ""101"": 4, ""010"": 1, ""100"": 3}","{""000"": 804, ""001"": 196}"
65,"{""1000"": 24, ""0000"": 796, ""1001"": 7, ""0001"": 26, ""0010"": 27, ""0100"": 80, ""0101"": 12, ""0111"": 2, ""1010"": 6, ""1011"": 2, ""1100"": 4, ""0110"": 6, ""0011"": 8}","{""0000"": 1000}"
68,"{""11"": 483, ""10"": 488, ""00"": 17, ""01"": 12}","{""10"": 497, ""11"": 503}"
69,"{""010"": 329, ""000"": 660, ""001"": 6, ""011"": 3, ""110"": 2}","{""000"": 665, ""010"": 335}"
70,"{""00"": 977, ""10"": 13, ""01"": 8, ""11"": 2}","{""00"": 1000}"
71,"{""1001"": 4, ""0001"": 258, ""1000"": 11, ""0000"": 678, ""0010"": 8, ""0100"": 20, ""0101"": 16, ""0011"": 4, ""0111"": 1}","{""0000"": 711, ""0001"": 289}"
74,"{""00"": 164, ""01"": 688, ""11"": 121, ""10"": 27}","{""01"": 698, ""11"": 121, ""00"": 152, ""10"": 29}"
78,"{""01000"": 11, ""00000"": 661, ""00100"": 250, ""00010"": 11, ""10000"": 9, ""00001"": 19, ""01111"": 2, ""00110"": 9, ""01100"": 3, ""01010"": 2, ""00101"": 6, ""00011"": 6, ""00111"": 3, ""10100"": 2, ""01101"": 3, ""01001"": 2, ""10010"": 1}","{""00000"": 720, ""00100"": 280}"
79,"{""00101"": 18, ""10100"": 447, ""10101"": 21, ""00100"": 456, ""10000"": 28, ""10110"": 6, ""00000"": 10, ""11100"": 3, ""00110"": 4, ""10001"": 3, ""10010"": 1, ""01100"": 2, ""11101"": 1}","{""10100"": 493, ""00100"": 507}"
81,"{""010"": 914, ""011"": 11, ""000"": 46, ""001"": 6, ""100"": 3, ""110"": 14, ""111"": 5, ""101"": 1}","{""010"": 1000}"
82,"{""1000"": 410, ""0000"": 447, ""0001"": 10, ""1010"": 35, ""1011"": 4, ""0010"": 52, ""0101"": 2, ""0100"": 10, ""1001"": 7, ""1101"": 3, ""0011"": 3, ""0110"": 4, ""1100"": 9, ""1111"": 1, ""1110"": 2, ""0111"": 1}","{""1000"": 469, ""0000"": 461, ""0010"": 37, ""1010"": 33}"
84,"{""000"": 824, ""100"": 157, ""001"": 8, ""010"": 6, ""011"": 1, ""101"": 1, ""110"": 2, ""111"": 1}","{""000"": 862, ""100"": 138}"
85,"{""1000"": 6, ""0000"": 950, ""0001"": 19, ""0010"": 11, ""0100"": 14}","{""0000"": 1000}"
