circuit_index,noisy_counts,ideal_counts
2024,"{""11"": 472, ""10"": 509, ""01"": 11, ""00"": 8}","{""10"": 493, ""11"": 507}"
2025,"{""00"": 151, ""11"": 73, ""10"": 480, ""01"": 296}","{""01"": 267, ""10"": 524, ""11"": 67, ""00"": 142}"
2026,"{""100"": 272, ""010"": 203, ""000"": 226, ""110"": 267, ""001"": 13, ""101"": 5, ""011"": 11, ""111"": 3}","{""100"": 270, ""110"": 280, ""000"": 229, ""010"": 221}"
2030,"{""1010"": 459, ""1011"": 23, ""0010"": 392, ""1110"": 15, ""0000"": 18, ""1000"": 23, ""0110"": 16, ""0011"": 17, ""1001"": 9, ""0001"": 9, ""1111"": 4, ""1101"": 1, ""0111"": 6, ""0100"": 7, ""0101"": 1}","{""0010"": 467, ""1010"": 530, ""1110"": 1, ""0110"": 2}"
2031,"{""1000"": 41, ""0000"": 757, ""0001"": 38, ""0010"": 55, ""0100"": 31, ""0101"": 8, ""0110"": 10, ""1100"": 25, ""0011"": 13, ""1011"": 2, ""1110"": 6, ""1010"": 7, ""1001"": 4, ""1101"": 1, ""1111"": 1, ""0111"": 1}","{""0000"": 975, ""1100"": 25}"
2032,"{""11"": 824, ""10"": 108, ""01"": 13, ""00"": 55}","{""11"": 846, ""10"": 91, ""00"": 63}"
2033,"{""100"": 849, ""101"": 34, ""111"": 30, ""000"": 30, ""110"": 28, ""011"": 14, ""001"": 8, ""010"": 7}","{""100"": 1000}"
2035,"{""10"": 475, ""11"": 290, ""00"": 106, ""01"": 129}","{""10"": 458, ""11"": 314, ""01"": 134, ""00"": 94}"
2037,"{""100"": 218, ""110"": 459, ""011"": 15, ""000"": 247, ""010"": 16, ""111"": 16, ""101"": 12, ""001"": 17}","{""000"": 250, ""100"": 256, ""110"": 492, ""010"": 2}"
2038,"{""110"": 338, ""111"": 200, ""101"": 172, ""011"": 149, ""100"": 74, ""010"": 58, ""001"": 4, ""000"": 5}","{""011"": 162, ""110"": 330, ""101"": 182, ""111"": 197, ""010"": 56, ""100"": 73}"
2040,"{""000"": 417, ""100"": 463, ""101"": 24, ""001"": 22, ""010"": 27, ""011"": 15, ""110"": 28, ""111"": 4}","{""100"": 496, ""000"": 504}"
2047,"{""1101"": 25, ""0100"": 602, ""0011"": 1, ""1100"": 164, ""0110"": 83, ""0101"": 35, ""1110"": 17, ""0010"": 8, ""1001"": 4, ""1111"": 6, ""0000"": 41, ""0111"": 6, ""1000"": 7, ""0001"": 1}","{""0100"": 733, ""1100"": 173, ""0110"": 73, ""1110"": 21}"
