circuit_index,noisy_counts,ideal_counts
3454,"{""0110"": 7, ""0010"": 164, ""1110"": 15, ""0011"": 184, ""1011"": 181, ""0000"": 57, ""0001"": 76, ""1010"": 140, ""1111"": 17, ""1001"": 68, ""1000"": 58, ""0111"": 10, ""0100"": 8, ""1101"": 4, ""0101"": 5, ""1100"": 6}","{""0011"": 208, ""0001"": 59, ""1001"": 64, ""1010"": 176, ""0010"": 191, ""1011"": 189, ""0000"": 53, ""1000"": 60}"
755,"{""00000"": 803, ""00100"": 33, ""00001"": 68, ""10000"": 20, ""00011"": 6, ""10011"": 4, ""01001"": 4, ""01000"": 16, ""10001"": 11, ""01010"": 1, ""00010"": 10, ""00101"": 4, ""11101"": 1, ""01101"": 6, ""01100"": 5, ""11100"": 1, ""11011"": 1, ""00110"": 2, ""10101"": 1, ""10100"": 2, ""10111"": 1}","{""00000"": 1000}"
3937,"{""10001"": 122, ""10101"": 61, ""00010"": 162, ""00110"": 108, ""11010"": 7, ""00100"": 69, ""10011"": 11, ""10000"": 11, ""00111"": 15, ""01111"": 11, ""01010"": 50, ""01100"": 19, ""00101"": 71, ""00001"": 62, ""00000"": 64, ""01110"": 25, ""11001"": 11, ""10110"": 6, ""01011"": 12, ""11111"": 6, ""11000"": 8, ""11011"": 11, ""11101"": 12, ""10100"": 6, ""10111"": 6, ""01101"": 7, ""01000"": 18, ""11100"": 8, ""00011"": 6, ""10010"": 8, ""01001"": 5, ""11110"": 2}","{""00010"": 162, ""00000"": 77, ""10001"": 155, ""10101"": 141, ""01010"": 15, ""00110"": 137, ""01110"": 13, ""00101"": 90, ""00001"": 69, ""01100"": 12, ""01011"": 4, ""11001"": 9, ""00100"": 78, ""11010"": 6, ""01000"": 9, ""11011"": 5, ""01111"": 3, ""01001"": 5, ""01101"": 5, ""11101"": 5}"
2961,"{""0110"": 324, ""0001"": 64, ""0010"": 341, ""1110"": 15, ""1111"": 10, ""1000"": 27, ""0100"": 38, ""0101"": 52, ""1100"": 20, ""0111"": 12, ""1011"": 15, ""0000"": 42, ""1010"": 18, ""0011"": 10, ""1001"": 4, ""1101"": 8}","{""1111"": 6, ""0110"": 452, ""1011"": 11, ""0010"": 438, ""1100"": 6, ""0001"": 33, ""0101"": 33, ""1101"": 1, ""1000"": 20}"
3844,"{""100"": 208, ""010"": 120, ""001"": 314, ""110"": 27, ""000"": 78, ""101"": 205, ""111"": 33, ""011"": 15}","{""010"": 115, ""001"": 325, ""000"": 104, ""100"": 193, ""101"": 257, ""110"": 6}"
1066,"{""010"": 369, ""110"": 596, ""100"": 13, ""111"": 8, ""011"": 7, ""000"": 5, ""101"": 2}","{""010"": 414, ""110"": 581, ""111"": 3, ""011"": 2}"
1198,"{""1000"": 506, ""0000"": 434, ""1001"": 8, ""0100"": 5, ""0001"": 9, ""1010"": 8, ""0110"": 3, ""1100"": 7, ""1110"": 14, ""1111"": 1, ""0010"": 4, ""0111"": 1}","{""0000"": 484, ""1000"": 516}"
3931,"{""000"": 417, ""100"": 524, ""110"": 10, ""011"": 10, ""101"": 10, ""111"": 9, ""001"": 12, ""010"": 8}","{""100"": 488, ""000"": 512}"
1364,"{""00000"": 477, ""01100"": 323, ""01000"": 46, ""00001"": 14, ""11100"": 15, ""00010"": 26, ""01101"": 8, ""00100"": 20, ""00011"": 4, ""11000"": 7, ""01010"": 4, ""11101"": 3, ""10010"": 2, ""10000"": 10, ""00101"": 6, ""01110"": 14, ""10100"": 8, ""11001"": 2, ""10110"": 2, ""11111"": 3, ""01111"": 1, ""11011"": 1, ""11010"": 1, ""01001"": 2, ""10011"": 1}","{""00000"": 594, ""01100"": 406}"
1495,"{""0010"": 348, ""0111"": 78, ""0011"": 424, ""0110"": 93, ""0001"": 10, ""1001"": 1, ""1011"": 12, ""0000"": 13, ""0101"": 10, ""1111"": 4, ""1010"": 3, ""1110"": 3, ""0100"": 1}","{""0011"": 534, ""0010"": 398, ""0111"": 36, ""0110"": 31, ""0000"": 1}"
1951,"{""110"": 421, ""010"": 160, ""100"": 31, ""101"": 130, ""111"": 142, ""001"": 56, ""011"": 44, ""000"": 16}","{""010"": 155, ""101"": 135, ""011"": 37, ""111"": 112, ""110"": 476, ""100"": 31, ""001"": 44, ""000"": 10}"
461,"{""01"": 724, ""11"": 157, ""00"": 97, ""10"": 22}","{""01"": 735, ""10"": 23, ""11"": 143, ""00"": 99}"
1740,"{""00000"": 759, ""00010"": 58, ""00001"": 28, ""11001"": 4, ""10001"": 5, ""01000"": 23, ""00100"": 20, ""00111"": 10, ""10000"": 23, ""01001"": 4, ""10100"": 9, ""01100"": 5, ""00011"": 6, ""01111"": 4, ""11100"": 1, ""10011"": 4, ""11000"": 10, ""11111"": 3, ""10110"": 11, ""00110"": 5, ""11010"": 1, ""00101"": 2, ""10010"": 2, ""01101"": 1, ""10111"": 1, ""10101"": 1}","{""00010"": 62, ""00000"": 938}"
1812,"{""10"": 979, ""00"": 5, ""11"": 8, ""01"": 8}","{""10"": 1000}"
762,"{""00000"": 850, ""00100"": 3, ""00001"": 14, ""00010"": 43, ""10011"": 2, ""01000"": 14, ""10000"": 21, ""11000"": 9, ""00011"": 14, ""10100"": 7, ""01011"": 2, ""10010"": 6, ""00110"": 2, ""11001"": 2, ""01111"": 1, ""10001"": 6, ""00111"": 1, ""01001"": 1, ""00101"": 1, ""11110"": 1}","{""00000"": 1000}"
3935,"{""111"": 24, ""000"": 878, ""110"": 13, ""010"": 27, ""100"": 25, ""101"": 10, ""011"": 16, ""001"": 7}","{""000"": 1000}"
3365,"{""10010"": 21, ""10101"": 5, ""11010"": 36, ""00001"": 106, ""00010"": 63, ""00000"": 48, ""00011"": 53, ""01010"": 79, ""11011"": 25, ""01011"": 77, ""01001"": 167, ""01000"": 111, ""01111"": 4, ""01101"": 3, ""11110"": 3, ""00111"": 2, ""10011"": 17, ""11001"": 63, ""11000"": 36, ""10000"": 13, ""10001"": 44, ""11111"": 2, ""10111"": 6, ""10100"": 4, ""00100"": 3, ""11101"": 2, ""00110"": 2, ""00101"": 1, ""10110"": 3, ""11100"": 1}","{""00000"": 33, ""00010"": 40, ""01011"": 110, ""00001"": 81, ""01001"": 230, ""11000"": 30, ""01010"": 100, ""11011"": 33, ""10001"": 33, ""11001"": 68, ""01000"": 134, ""00011"": 40, ""10011"": 10, ""10000"": 21, ""10010"": 7, ""11010"": 30}"
2296,"{""11110"": 277, ""11101"": 47, ""01110"": 11, ""11100"": 26, ""00100"": 12, ""01101"": 92, ""00101"": 18, ""11010"": 18, ""10001"": 26, ""11111"": 245, ""01100"": 74, ""10111"": 39, ""11001"": 17, ""10011"": 12, ""11011"": 18, ""00001"": 5, ""00111"": 3, ""00110"": 2, ""01111"": 4, ""10010"": 3, ""01001"": 8, ""10110"": 22, ""10100"": 7, ""10000"": 4, ""11000"": 1, ""01000"": 1, ""10101"": 7, ""01011"": 1}","{""11110"": 344, ""01101"": 109, ""11111"": 302, ""11011"": 1, ""01100"": 120, ""10001"": 18, ""11100"": 37, ""11101"": 35, ""01110"": 4, ""11001"": 29, ""01111"": 1}"
1206,"{""00000"": 555, ""00001"": 288, ""01000"": 24, ""01011"": 2, ""00110"": 7, ""00011"": 13, ""00010"": 34, ""00101"": 7, ""01001"": 21, ""10100"": 4, ""11011"": 1, ""00100"": 11, ""01111"": 2, ""11111"": 2, ""10000"": 3, ""10101"": 2, ""01010"": 6, ""11010"": 1, ""01101"": 2, ""11110"": 3, ""10001"": 3, ""01100"": 3, ""11101"": 1, ""01110"": 1, ""11001"": 1, ""11100"": 1, ""11000"": 1, ""10011"": 1}","{""00000"": 716, ""01001"": 17, ""00001"": 202, ""00010"": 65}"
