circuit_index,noisy_counts,ideal_counts
3080,"{""10"": 237, ""00"": 621, ""01"": 84, ""11"": 58}","{""10"": 288, ""01"": 85, ""00"": 587, ""11"": 40}"
3184,"{""101"": 472, ""100"": 421, ""110"": 40, ""010"": 7, ""011"": 12, ""000"": 19, ""001"": 20, ""111"": 9}","{""100"": 523, ""110"": 18, ""101"": 459}"
1734,"{""00000"": 132, ""10001"": 35, ""10000"": 618, ""10011"": 66, ""00001"": 23, ""10100"": 33, ""00010"": 4, ""11100"": 7, ""11111"": 1, ""10110"": 4, ""01110"": 2, ""00011"": 7, ""01100"": 6, ""10101"": 3, ""10010"": 18, ""11001"": 2, ""11000"": 2, ""00110"": 3, ""01101"": 4, ""10111"": 4, ""00100"": 9, ""11101"": 8, ""11010"": 1, ""11110"": 2, ""01111"": 1, ""00101"": 1, ""01000"": 1, ""01010"": 1, ""00111"": 2}","{""00001"": 2, ""10000"": 822, ""00000"": 85, ""10001"": 14, ""10011"": 75, ""00011"": 2}"
612,"{""11000"": 7, ""00000"": 854, ""01000"": 16, ""00101"": 15, ""00001"": 17, ""01100"": 4, ""00100"": 13, ""01010"": 5, ""10001"": 4, ""10101"": 3, ""11010"": 7, ""10000"": 15, ""11110"": 3, ""10010"": 7, ""10100"": 7, ""00010"": 14, ""10011"": 2, ""01111"": 1, ""00110"": 2, ""10110"": 1, ""11111"": 1, ""00011"": 1, ""01110"": 1}","{""00000"": 1000}"
1911,"{""1010"": 373, ""1110"": 420, ""0100"": 70, ""0000"": 72, ""0010"": 19, ""1000"": 18, ""1100"": 13, ""0110"": 11, ""1101"": 2, ""1001"": 1, ""1111"": 1}","{""1010"": 403, ""1110"": 429, ""0100"": 79, ""1000"": 3, ""0000"": 71, ""0110"": 4, ""0010"": 9, ""1100"": 2}"
1587,"{""00"": 320, ""10"": 43, ""01"": 493, ""11"": 144}","{""00"": 357, ""11"": 137, ""01"": 460, ""10"": 46}"
2044,"{""10010"": 10, ""00010"": 6, ""11110"": 333, ""11100"": 22, ""11010"": 82, ""01110"": 272, ""01100"": 27, ""00011"": 5, ""11001"": 3, ""01010"": 53, ""11111"": 67, ""11101"": 11, ""01111"": 19, ""10110"": 5, ""01000"": 5, ""10100"": 12, ""11011"": 11, ""01011"": 9, ""00100"": 9, ""10111"": 2, ""00111"": 5, ""10101"": 5, ""00110"": 6, ""00000"": 2, ""11000"": 6, ""10011"": 4, ""01101"": 4, ""00101"": 4, ""01001"": 1}","{""11100"": 41, ""11010"": 92, ""11011"": 13, ""01100"": 50, ""01110"": 321, ""11110"": 328, ""01010"": 101, ""11111"": 20, ""01011"": 8, ""11101"": 4, ""01111"": 19, ""01101"": 3}"
363,"{""000"": 764, ""101"": 195, ""001"": 29, ""010"": 4, ""100"": 8}","{""101"": 230, ""000"": 770}"
3256,"{""01110"": 279, ""01011"": 15, ""00001"": 4, ""00111"": 50, ""10111"": 69, ""01100"": 121, ""01000"": 13, ""11100"": 40, ""10100"": 24, ""00101"": 18, ""10101"": 30, ""11110"": 87, ""01101"": 15, ""11101"": 45, ""00010"": 6, ""00100"": 34, ""10110"": 11, ""11001"": 8, ""11000"": 7, ""00000"": 9, ""01010"": 36, ""00110"": 14, ""11011"": 17, ""11010"": 19, ""01001"": 3, ""10010"": 7, ""01111"": 2, ""10001"": 4, ""00011"": 3, ""11111"": 6, ""10011"": 3, ""10000"": 1}","{""00101"": 22, ""01110"": 383, ""00111"": 238, ""11110"": 170, ""01100"": 52, ""10111"": 57, ""11010"": 22, ""01010"": 4, ""11100"": 5, ""01011"": 27, ""10101"": 3, ""10100"": 3, ""11011"": 9, ""00100"": 1, ""11101"": 3, ""01101"": 1}"
1700,"{""0100"": 418, ""0000"": 204, ""1000"": 252, ""0001"": 7, ""1010"": 14, ""0110"": 21, ""1100"": 21, ""0010"": 11, ""1001"": 10, ""1011"": 7, ""1101"": 4, ""0101"": 16, ""0111"": 5, ""0011"": 3, ""1110"": 6, ""1111"": 1}","{""0100"": 485, ""0000"": 200, ""1000"": 296, ""0110"": 3, ""1100"": 16}"
