circuit_index,noisy_counts,ideal_counts
2204,"{""100"": 251, ""001"": 23, ""111"": 224, ""101"": 190, ""000"": 43, ""110"": 205, ""011"": 25, ""010"": 39}","{""100"": 225, ""111"": 214, ""110"": 224, ""101"": 219, ""000"": 41, ""001"": 30, ""010"": 29, ""011"": 18}"
472,"{""00010"": 265, ""00000"": 221, ""00011"": 217, ""10011"": 12, ""00001"": 224, ""01000"": 4, ""10010"": 8, ""11011"": 4, ""01010"": 4, ""10001"": 10, ""01001"": 7, ""10000"": 9, ""01011"": 5, ""00100"": 3, ""11000"": 2, ""10110"": 1, ""00111"": 1, ""00110"": 1, ""00101"": 1, ""11001"": 1}","{""00000"": 241, ""00011"": 266, ""00001"": 241, ""00010"": 252}"
3195,"{""011"": 169, ""001"": 82, ""000"": 188, ""110"": 29, ""100"": 202, ""111"": 153, ""101"": 147, ""010"": 30}","{""011"": 133, ""100"": 232, ""101"": 102, ""001"": 128, ""000"": 190, ""111"": 171, ""010"": 22, ""110"": 22}"
1390,"{""10"": 241, ""11"": 272, ""00"": 245, ""01"": 242}","{""00"": 251, ""11"": 222, ""01"": 279, ""10"": 248}"
3563,"{""1000"": 137, ""0100"": 209, ""1100"": 219, ""0011"": 32, ""1010"": 21, ""0101"": 26, ""0111"": 110, ""0110"": 27, ""1111"": 58, ""1110"": 29, ""0001"": 14, ""1011"": 18, ""1001"": 30, ""0000"": 48, ""1101"": 10, ""0010"": 12}","{""1000"": 187, ""0111"": 123, ""1100"": 263, ""1111"": 136, ""0110"": 16, ""0100"": 190, ""0001"": 8, ""0101"": 8, ""0011"": 8, ""0000"": 38, ""1110"": 6, ""1010"": 1, ""1001"": 14, ""1101"": 2}"
2245,"{""00011"": 185, ""10101"": 184, ""00000"": 28, ""00111"": 53, ""00001"": 158, ""10111"": 158, ""00101"": 51, ""10110"": 33, ""10100"": 25, ""11101"": 6, ""00010"": 20, ""01010"": 5, ""01101"": 2, ""01110"": 2, ""00100"": 9, ""11111"": 6, ""10001"": 11, ""10011"": 12, ""01100"": 4, ""11001"": 5, ""00110"": 7, ""11110"": 4, ""01000"": 4, ""11000"": 4, ""10010"": 5, ""10000"": 5, ""01001"": 4, ""01011"": 5, ""11010"": 3, ""01111"": 1, ""11011"": 1}","{""00001"": 217, ""10111"": 213, ""10101"": 231, ""00011"": 240, ""00101"": 47, ""00111"": 52}"
1845,"{""00100"": 730, ""10100"": 20, ""01110"": 16, ""01100"": 43, ""11100"": 49, ""10000"": 2, ""00000"": 41, ""01001"": 1, ""00011"": 5, ""00110"": 32, ""00101"": 5, ""00010"": 15, ""01010"": 6, ""11000"": 3, ""00001"": 5, ""01000"": 10, ""11101"": 1, ""11110"": 3, ""00111"": 2, ""10010"": 2, ""10110"": 5, ""11010"": 1, ""01101"": 1, ""10011"": 1, ""01111"": 1}","{""00100"": 1000}"
1527,"{""0000"": 887, ""1000"": 35, ""0101"": 6, ""1100"": 11, ""0100"": 23, ""0011"": 6, ""0001"": 10, ""1110"": 1, ""1001"": 5, ""1011"": 4, ""0010"": 3, ""0110"": 4, ""0111"": 2, ""1111"": 1, ""1101"": 1, ""1010"": 1}","{""0000"": 999, ""0001"": 1}"
1370,"{""000"": 965, ""001"": 10, ""111"": 2, ""011"": 3, ""010"": 9, ""101"": 5, ""100"": 2, ""110"": 4}","{""000"": 1000}"
2292,"{""00"": 609, ""10"": 349, ""01"": 18, ""11"": 24}","{""10"": 359, ""00"": 586, ""01"": 24, ""11"": 31}"
515,"{""10"": 960, ""00"": 40}","{""10"": 966, ""00"": 34}"
2194,"{""1011"": 58, ""0010"": 93, ""1010"": 242, ""0001"": 140, ""0011"": 243, ""1000"": 92, ""1100"": 8, ""0000"": 34, ""1001"": 20, ""0111"": 16, ""0110"": 13, ""0101"": 10, ""1110"": 8, ""1111"": 13, ""0100"": 6, ""1101"": 4}","{""0000"": 44, ""1000"": 119, ""1001"": 11, ""0001"": 117, ""1010"": 268, ""0011"": 291, ""1011"": 20, ""0010"": 130}"
883,"{""00000"": 653, ""00001"": 274, ""01010"": 5, ""10001"": 2, ""01000"": 9, ""00010"": 13, ""10000"": 13, ""00100"": 7, ""10011"": 1, ""00101"": 2, ""10010"": 4, ""01001"": 12, ""11000"": 2, ""11100"": 1, ""00011"": 1, ""10100"": 1}","{""00000"": 746, ""00001"": 254}"
867,"{""111"": 278, ""101"": 235, ""110"": 241, ""100"": 222, ""010"": 6, ""011"": 6, ""001"": 5, ""000"": 7}","{""111"": 245, ""110"": 255, ""100"": 233, ""101"": 260, ""011"": 4, ""001"": 1, ""010"": 1, ""000"": 1}"
2482,"{""011"": 456, ""000"": 26, ""001"": 472, ""101"": 14, ""100"": 9, ""111"": 11, ""110"": 3, ""010"": 9}","{""001"": 491, ""011"": 508, ""000"": 1}"
53,"{""0000"": 7, ""0111"": 279, ""0110"": 239, ""0011"": 142, ""0010"": 113, ""1111"": 52, ""1010"": 33, ""1110"": 58, ""1011"": 34, ""0001"": 11, ""1100"": 3, ""1001"": 4, ""0101"": 12, ""1101"": 4, ""0100"": 9}","{""1111"": 55, ""0110"": 256, ""0010"": 123, ""1011"": 28, ""0111"": 279, ""0011"": 148, ""1110"": 56, ""1010"": 36, ""0101"": 8, ""0100"": 5, ""1100"": 2, ""0000"": 2, ""0001"": 1, ""1000"": 1}"
1473,"{""00000"": 776, ""00001"": 31, ""11001"": 1, ""00010"": 25, ""11101"": 1, ""10000"": 31, ""10011"": 1, ""00100"": 14, ""00101"": 8, ""01010"": 11, ""00110"": 5, ""01001"": 6, ""11000"": 7, ""01000"": 32, ""01100"": 4, ""11111"": 2, ""01101"": 1, ""10100"": 8, ""00011"": 12, ""10110"": 1, ""10111"": 1, ""01110"": 3, ""11100"": 1, ""11010"": 2, ""10001"": 5, ""01011"": 4, ""11011"": 1, ""01111"": 1, ""00111"": 1, ""11110"": 1, ""10101"": 2, ""10010"": 1}","{""00000"": 1000}"
1314,"{""10"": 275, ""11"": 526, ""01"": 192, ""00"": 7}","{""01"": 183, ""10"": 321, ""11"": 496}"
3097,"{""10101"": 130, ""00000"": 241, ""11000"": 55, ""01000"": 162, ""00010"": 29, ""10000"": 54, ""01110"": 144, ""10010"": 9, ""01100"": 21, ""10001"": 16, ""00011"": 4, ""10110"": 4, ""11001"": 7, ""01010"": 21, ""00110"": 7, ""01011"": 2, ""01001"": 5, ""00001"": 6, ""01101"": 5, ""10011"": 3, ""11010"": 6, ""10100"": 6, ""10111"": 15, ""11101"": 2, ""11111"": 4, ""00100"": 19, ""01111"": 10, ""00101"": 5, ""11011"": 3, ""11110"": 3, ""11100"": 2}","{""01110"": 184, ""01000"": 249, ""00000"": 240, ""00100"": 1, ""10101"": 184, ""11000"": 83, ""10000"": 57, ""11111"": 2}"
3625,"{""100"": 178, ""101"": 16, ""000"": 57, ""010"": 115, ""110"": 149, ""111"": 236, ""001"": 114, ""011"": 135}","{""100"": 205, ""001"": 80, ""111"": 264, ""110"": 132, ""010"": 126, ""000"": 77, ""011"": 106, ""101"": 10}"
879,"{""0010"": 702, ""0110"": 11, ""0000"": 243, ""0111"": 12, ""0101"": 4, ""1010"": 5, ""1000"": 5, ""0100"": 6, ""1110"": 2, ""0011"": 2, ""0001"": 4, ""1011"": 2, ""1100"": 2}","{""0000"": 194, ""0010"": 806}"
3632,"{""11"": 576, ""01"": 379, ""00"": 19, ""10"": 26}","{""11"": 558, ""01"": 422, ""00"": 10, ""10"": 10}"
3328,"{""00000"": 313, ""11110"": 9, ""01010"": 258, ""01000"": 69, ""00010"": 86, ""00011"": 8, ""10001"": 11, ""10101"": 11, ""00001"": 19, ""10100"": 21, ""01011"": 14, ""11111"": 18, ""10000"": 36, ""01111"": 24, ""10010"": 9, ""01110"": 6, ""00100"": 22, ""11010"": 18, ""00111"": 11, ""00101"": 6, ""01100"": 4, ""01101"": 1, ""11000"": 8, ""00110"": 3, ""11011"": 2, ""11100"": 4, ""10110"": 4, ""10111"": 3, ""10011"": 1, ""01001"": 1}","{""01000"": 65, ""00000"": 442, ""01010"": 430, ""00010"": 63}"
3020,"{""010"": 180, ""110"": 669, ""100"": 50, ""000"": 53, ""111"": 18, ""001"": 14, ""011"": 12, ""101"": 4}","{""110"": 654, ""100"": 63, ""010"": 259, ""000"": 22, ""111"": 2}"
1921,"{""00"": 982, ""10"": 4, ""01"": 8, ""11"": 6}","{""00"": 1000}"
2434,"{""0000"": 424, ""0100"": 78, ""1000"": 319, ""1010"": 26, ""1100"": 81, ""0110"": 8, ""1110"": 6, ""0010"": 32, ""1101"": 2, ""0001"": 7, ""1001"": 7, ""0011"": 2, ""0111"": 1, ""0101"": 2, ""1111"": 3, ""1011"": 2}","{""0000"": 416, ""1000"": 428, ""1100"": 68, ""0100"": 88}"
2167,"{""00"": 982, ""01"": 4, ""11"": 3, ""10"": 11}","{""00"": 993, ""10"": 7}"
2948,"{""00"": 264, ""10"": 22, ""11"": 609, ""01"": 105}","{""11"": 652, ""00"": 253, ""01"": 86, ""10"": 9}"
158,"{""11"": 374, ""00"": 612, ""01"": 8, ""10"": 6}","{""00"": 606, ""11"": 394}"
1802,"{""11000"": 18, ""01000"": 662, ""00010"": 13, ""00000"": 175, ""11100"": 12, ""01111"": 2, ""10000"": 11, ""10111"": 4, ""01100"": 9, ""00001"": 15, ""01010"": 22, ""01101"": 2, ""11110"": 2, ""00110"": 2, ""00100"": 7, ""01001"": 19, ""11001"": 3, ""10100"": 4, ""10101"": 2, ""00111"": 1, ""10110"": 2, ""10011"": 1, ""01110"": 3, ""01011"": 3, ""10001"": 2, ""10010"": 1, ""00011"": 2, ""11101"": 1}","{""00000"": 117, ""01000"": 883}"
2083,"{""11"": 204, ""10"": 220, ""00"": 294, ""01"": 282}","{""11"": 226, ""00"": 267, ""10"": 205, ""01"": 302}"
2452,"{""0110"": 180, ""1101"": 3, ""0011"": 131, ""0000"": 101, ""0101"": 68, ""0111"": 137, ""0010"": 172, ""0100"": 100, ""0001"": 75, ""1011"": 7, ""1000"": 5, ""1111"": 6, ""1001"": 3, ""1110"": 3, ""1100"": 1, ""1010"": 8}","{""0010"": 181, ""0110"": 180, ""0111"": 177, ""0000"": 63, ""0001"": 77, ""0011"": 193, ""0100"": 70, ""0101"": 59}"
38,"{""00100"": 844, ""10111"": 2, ""00000"": 17, ""10100"": 32, ""11101"": 1, ""00101"": 21, ""01100"": 13, ""00011"": 7, ""10011"": 23, ""00001"": 5, ""00110"": 11, ""00010"": 1, ""10101"": 2, ""01111"": 3, ""11100"": 10, ""10110"": 3, ""01011"": 2, ""11011"": 1, ""11000"": 1, ""00111"": 1}","{""00100"": 1000}"
3005,"{""00001"": 24, ""11101"": 45, ""10011"": 38, ""11000"": 263, ""01000"": 42, ""01100"": 20, ""10101"": 15, ""10100"": 36, ""00011"": 9, ""01101"": 35, ""01001"": 42, ""10000"": 47, ""11001"": 68, ""11011"": 92, ""10001"": 51, ""00000"": 16, ""10110"": 21, ""00100"": 17, ""10111"": 16, ""11110"": 10, ""10010"": 11, ""00010"": 6, ""01111"": 5, ""11100"": 9, ""11010"": 12, ""11111"": 16, ""00101"": 9, ""01011"": 9, ""00111"": 5, ""01010"": 2, ""01110"": 5, ""00110"": 4}","{""11000"": 572, ""10001"": 27, ""01000"": 14, ""11101"": 69, ""10100"": 90, ""10011"": 41, ""11011"": 124, ""10110"": 9, ""00101"": 14, ""10111"": 17, ""10010"": 5, ""01111"": 1, ""11111"": 2, ""01101"": 10, ""01011"": 2, ""00011"": 1, ""00111"": 1, ""00010"": 1}"
3588,"{""10000"": 187, ""00011"": 105, ""00010"": 16, ""11100"": 6, ""10010"": 30, ""10011"": 411, ""10110"": 15, ""01000"": 5, ""01011"": 3, ""00000"": 65, ""11010"": 15, ""10001"": 25, ""00001"": 8, ""10100"": 10, ""11111"": 11, ""00111"": 4, ""11101"": 6, ""10101"": 8, ""10111"": 2, ""01010"": 14, ""01101"": 8, ""01111"": 7, ""11011"": 12, ""11110"": 1, ""00100"": 6, ""00101"": 3, ""00110"": 7, ""01100"": 1, ""01110"": 3, ""11001"": 2, ""11000"": 2, ""01001"": 2}","{""00011"": 119, ""10000"": 217, ""10011"": 625, ""00000"": 39}"
517,"{""000"": 317, ""001"": 616, ""011"": 47, ""100"": 2, ""010"": 16, ""101"": 2}","{""000"": 352, ""001"": 612, ""011"": 36}"
2492,"{""00100"": 9, ""00010"": 306, ""00011"": 400, ""01100"": 5, ""10000"": 15, ""00000"": 44, ""00110"": 6, ""01011"": 21, ""01111"": 15, ""10101"": 5, ""00001"": 76, ""11000"": 2, ""01110"": 11, ""00101"": 13, ""01010"": 14, ""11001"": 2, ""01101"": 3, ""00111"": 13, ""01000"": 5, ""01001"": 4, ""10010"": 8, ""11100"": 2, ""11101"": 3, ""10001"": 8, ""10011"": 5, ""10111"": 2, ""11110"": 1, ""10110"": 1, ""10100"": 1}","{""00011"": 540, ""00010"": 363, ""00000"": 61, ""00001"": 31, ""00100"": 3, ""00101"": 2}"
