circuit_index,noisy_counts,ideal_counts
765,"{""100"": 870, ""101"": 18, ""000"": 92, ""001"": 10, ""110"": 8, ""010"": 2}","{""100"": 922, ""000"": 78}"
328,"{""100"": 819, ""000"": 178, ""110"": 2, ""010"": 1}","{""100"": 844, ""000"": 156}"
2838,"{""00000"": 380, ""00001"": 377, ""00100"": 27, ""01001"": 10, ""11010"": 2, ""11111"": 6, ""00101"": 32, ""01100"": 7, ""11100"": 2, ""01101"": 3, ""10111"": 5, ""10101"": 7, ""01110"": 3, ""10001"": 22, ""00011"": 25, ""00010"": 20, ""11101"": 2, ""10010"": 4, ""10000"": 14, ""10011"": 8, ""11110"": 2, ""10100"": 2, ""01000"": 18, ""11011"": 3, ""00110"": 6, ""11000"": 3, ""01011"": 2, ""11001"": 4, ""01111"": 2, ""01010"": 1, ""00111"": 1}","{""00001"": 499, ""00000"": 501}"
1704,"{""101"": 155, ""010"": 118, ""000"": 229, ""100"": 284, ""011"": 50, ""001"": 88, ""111"": 59, ""110"": 17}","{""101"": 133, ""010"": 107, ""100"": 257, ""000"": 217, ""001"": 127, ""110"": 35, ""111"": 64, ""011"": 60}"
1633,"{""00000"": 837, ""00001"": 38, ""00100"": 12, ""01100"": 5, ""01000"": 25, ""01010"": 3, ""10111"": 3, ""00010"": 18, ""00011"": 3, ""10110"": 10, ""11010"": 4, ""11100"": 1, ""10000"": 17, ""10001"": 4, ""11111"": 2, ""01011"": 1, ""10101"": 1, ""01001"": 6, ""11000"": 4, ""10010"": 1, ""00110"": 3, ""11110"": 2}","{""00000"": 1000}"
2510,"{""0000"": 708, ""0001"": 196, ""0011"": 8, ""0110"": 4, ""0010"": 17, ""1111"": 3, ""1110"": 9, ""0100"": 10, ""1000"": 15, ""1101"": 5, ""1011"": 3, ""1001"": 4, ""1010"": 8, ""1100"": 4, ""0101"": 3, ""0111"": 3}","{""0000"": 780, ""0001"": 220}"
1459,"{""0000"": 879, ""1000"": 68, ""0100"": 13, ""1001"": 2, ""0001"": 19, ""1100"": 1, ""0010"": 6, ""1011"": 3, ""1010"": 4, ""0110"": 2, ""0011"": 2, ""1111"": 1}","{""1000"": 47, ""0000"": 953}"
2032,"{""11"": 842, ""01"": 11, ""10"": 91, ""00"": 56}","{""11"": 838, ""00"": 58, ""10"": 104}"
986,"{""000"": 432, ""100"": 450, ""110"": 52, ""010"": 47, ""001"": 6, ""101"": 9, ""011"": 2, ""111"": 2}","{""100"": 465, ""000"": 431, ""110"": 56, ""010"": 48}"
2801,"{""0000"": 99, ""1000"": 610, ""0001"": 33, ""1011"": 7, ""1100"": 152, ""0111"": 7, ""1010"": 5, ""0100"": 19, ""1101"": 19, ""1110"": 7, ""0101"": 5, ""0010"": 5, ""1111"": 3, ""0011"": 8, ""1001"": 10, ""0110"": 11}","{""0010"": 5, ""0000"": 78, ""1000"": 748, ""1100"": 134, ""0100"": 14, ""1101"": 6, ""0001"": 4, ""0110"": 5, ""0011"": 3, ""1111"": 1, ""0111"": 2}"
2734,"{""101"": 135, ""000"": 220, ""111"": 60, ""110"": 55, ""010"": 68, ""001"": 173, ""011"": 63, ""100"": 226}","{""100"": 191, ""000"": 194, ""111"": 71, ""101"": 187, ""011"": 63, ""001"": 206, ""010"": 43, ""110"": 45}"
1175,"{""100"": 812, ""001"": 7, ""110"": 7, ""000"": 134, ""101"": 28, ""011"": 5, ""111"": 6, ""010"": 1}","{""100"": 877, ""000"": 123}"
2756,"{""00"": 463, ""10"": 444, ""01"": 51, ""11"": 42}","{""10"": 467, ""00"": 480, ""01"": 25, ""11"": 28}"
1282,"{""0000"": 864, ""1000"": 22, ""0001"": 46, ""1001"": 8, ""0010"": 20, ""0100"": 19, ""1010"": 6, ""0101"": 6, ""0110"": 2, ""1110"": 1, ""1101"": 1, ""1100"": 2, ""0111"": 2, ""1011"": 1}","{""0000"": 1000}"
