result_type,metric,value,p_value,algorithm,first_factor,second_factor,median,percentage_change,ci_lower,ci_upper
pairwise_median,rmse,-0.06918392028407273,9.999000099990002e-05,DT,25%,75%,-0.06918392028407273,-691839202.8407273,-0.07853635198567535,0.0
pairwise_median,rmse,-0.0981495457622364,9.999000099990002e-05,DT,25%,100%,-0.0981495457622364,-981495457.622364,-0.09982333794836701,-0.0955007853370851
pairwise_median,rmse,-0.018820161491204003,0.3261673832616738,DT,50%,75%,-0.018820161491204003,-188201614.91204002,-0.022,0.07065974808899335
pairwise_median,rmse,-0.022,9.999000099990002e-05,DT,50%,100%,-0.022,-219999999.99999997,-0.022,-0.010457371280944802
pairwise_median,rmse,0.0,1.0,DT,75%,100%,0.0,0.0,0.0,0.0
permutation_test,rmse,10.239750353888477,9.999000099990002e-05,GBR,,,,,,
pairwise,rmse,,0.6159945963018978,GBR,0%,25%,,,,
pairwise,rmse,,2.528372157951677e-08,GBR,0%,50%,,,,
pairwise,rmse,,0.8472501326942848,GBR,0%,75%,,,,
pairwise,rmse,,1.4150640617749215e-08,GBR,0%,100%,,,,
pairwise,rmse,,3.9211972501652914e-12,GBR,25%,50%,,,,
pairwise,rmse,,0.9273897269934689,GBR,25%,75%,,,,
pairwise,rmse,,2.2701673938427977e-11,GBR,50%,75%,,,,
pairwise,rmse,,5.685329959198885e-08,GBR,100%,25%,,,,
pairwise,rmse,,3.1368380343964423e-13,GBR,100%,50%,,,,
pairwise,rmse,,5.452114608218811e-13,GBR,100%,75%,,,,
pairwise_median,rmse,-0.0012454148662945988,0.9163083691630837,GBR,0%,25%,-0.0012454148662945988,-0.00018689723169217984,-0.009673824870265503,0.0167476285022472
pairwise_median,rmse,-0.0353854841624059,9.999000099990002e-05,GBR,0%,50%,-0.0353854841624059,-0.011807741649293654,-0.044193257156514204,-0.0304572818764324
pairwise_median,rmse,-0.004942004781963445,0.35126487351264873,GBR,0%,75%,-0.004942004781963445,-0.0007069567941905022,-0.011125255150528753,0.006727914039250698
pairwise_median,rmse,0.029764993944166453,9.999000099990002e-05,GBR,0%,100%,0.029764993944166453,0.003002586775468952,0.016578800291778398,0.042351917769524496
pairwise_median,rmse,-0.031122579954584652,9.999000099990002e-05,GBR,25%,50%,-0.031122579954584652,-0.010385258030569647,-0.0444166090940146,-0.0269123954363774
pairwise_median,rmse,0.006007293557271004,0.39836016398360163,GBR,25%,75%,0.006007293557271004,0.0008593470023560533,-0.007458770187690408,0.0139876710152691
pairwise_median,rmse,0.043474323489149744,9.999000099990002e-05,GBR,25%,100%,0.043474323489149744,0.00438553520373094,0.03230180491880641,0.048156107822727695
pairwise_median,rmse,0.0391147340863205,9.999000099990002e-05,GBR,50%,75%,0.0391147340863205,0.005595386535480621,0.0274642782652875,0.043062007629353444
pairwise_median,rmse,0.0690535814900646,9.999000099990002e-05,GBR,50%,100%,0.0690535814900646,0.006965879817404477,0.06154831518467299,0.07662499189875616
pairwise_median,rmse,0.0358326836506459,9.999000099990002e-05,GBR,75%,100%,0.0358326836506459,0.003614673742612277,0.026569868670939203,0.040075693485319544
permutation_test,rmse,1.5579466392577104,9.999000099990002e-05,RF Retest,,,,,,
pairwise,rmse,,0.5878319718823413,RF Retest,0%,25%,,,,
pairwise,rmse,,0.29765190877030323,RF Retest,0%,50%,,,,
pairwise,rmse,,0.001160740704315491,RF Retest,0%,75%,,,,
pairwise,rmse,,1.3002220361222297e-11,RF Retest,0%,100%,,,,
pairwise,rmse,,0.027153528399140557,RF Retest,25%,50%,,,,
pairwise,rmse,,0.0003266498474500499,RF Retest,25%,75%,,,,
pairwise,rmse,,0.160505859370632,RF Retest,50%,75%,,,,
pairwise,rmse,,5.077506773265749e-12,RF Retest,100%,25%,,,,
pairwise,rmse,,7.643829779141767e-11,RF Retest,100%,50%,,,,
pairwise,rmse,,9.422813767860224e-08,RF Retest,100%,75%,,,,
pairwise_median,rmse,-0.0016119877929581493,0.518048195180482,RF Retest,0%,25%,-0.0016119877929581493,-0.00020441031483270467,-0.005669998317741599,0.0036739603006638033
pairwise_median,rmse,-0.001108950308005098,0.5736426357364264,RF Retest,0%,50%,-0.001108950308005098,-0.0001336634912219707,-0.004315716296387606,0.0036279109292986014
pairwise_median,rmse,0.005485566946264203,0.0122987701229877,RF Retest,0%,75%,0.005485566946264203,0.0006853073750861336,-0.0013460401391169052,0.009663862771551998
pairwise_median,rmse,0.011217631132602393,9.999000099990002e-05,RF Retest,0%,100%,0.011217631132602393,0.0012082818753617454,0.009242949551941895,0.015761048194173607
pairwise_median,rmse,0.0021810227922591484,0.005599440055994401,RF Retest,25%,50%,0.0021810227922591484,0.0002628820414617789,0.0005987386419318997,0.0036310767192451014
pairwise_median,rmse,0.003130717953330849,0.0004999500049995,RF Retest,25%,75%,0.003130717953330849,0.0003911180236699753,0.0006940807151803972,0.005997223353117344
pairwise_median,rmse,0.012695752892912845,9.999000099990002e-05,RF Retest,25%,100%,0.012695752892912845,0.0013674944320458573,0.008272133229324352,0.015038675385851647
pairwise_median,rmse,0.0011652409443136044,0.197980201979802,RF Retest,50%,75%,0.0011652409443136044,0.0001455725945399816,-0.0006397448116023541,0.0037176882781088105
pairwise_median,rmse,0.0108281377463244,9.999000099990002e-05,RF Retest,50%,100%,0.0108281377463244,0.0011663284723972649,0.007851193910612843,0.013558665848329501
pairwise_median,rmse,0.007617331778638756,9.999000099990002e-05,RF Retest,75%,100%,0.007617331778638756,0.0008204837383176669,0.004867308506288415,0.0107838183459254
