circuit_index,noisy_counts,ideal_counts
0,"{""00"": 972, ""10"": 11, ""01"": 14, ""11"": 3}","{""00"": 993, ""01"": 7}"
4,"{""000"": 980, ""001"": 4, ""100"": 8, ""010"": 8}","{""000"": 1000}"
5,"{""000"": 855, ""010"": 104, ""100"": 20, ""101"": 4, ""011"": 3, ""001"": 13, ""110"": 1}","{""000"": 932, ""010"": 68}"
6,"{""11"": 379, ""00"": 598, ""01"": 12, ""10"": 11}","{""00"": 583, ""11"": 417}"
7,"{""10"": 851, ""00"": 139, ""01"": 4, ""11"": 6}","{""10"": 892, ""00"": 108}"
9,"{""00"": 974, ""01"": 15, ""11"": 3, ""10"": 8}","{""00"": 1000}"
10,"{""01"": 487, ""00"": 507, ""10"": 5, ""11"": 1}","{""01"": 517, ""00"": 483}"
11,"{""10"": 480, ""00"": 505, ""11"": 4, ""01"": 11}","{""10"": 505, ""00"": 487, ""01"": 6, ""11"": 2}"
12,"{""010"": 298, ""011"": 677, ""000"": 9, ""001"": 11, ""111"": 4, ""110"": 1}","{""011"": 691, ""010"": 301, ""001"": 4, ""000"": 4}"
13,"{""001"": 34, ""000"": 880, ""011"": 7, ""010"": 39, ""110"": 6, ""100"": 14, ""111"": 15, ""101"": 5}","{""000"": 1000}"
14,"{""10"": 485, ""00"": 509, ""01"": 3, ""11"": 3}","{""10"": 468, ""00"": 532}"
15,"{""100"": 238, ""110"": 227, ""101"": 244, ""010"": 19, ""111"": 232, ""001"": 9, ""000"": 16, ""011"": 15}","{""111"": 272, ""100"": 239, ""110"": 236, ""101"": 253}"
18,"{""01000"": 16, ""10001"": 3, ""00000"": 885, ""00001"": 32, ""10101"": 2, ""00100"": 11, ""00010"": 14, ""01011"": 1, ""01001"": 1, ""10000"": 17, ""00101"": 10, ""01010"": 2, ""00011"": 1, ""10010"": 2, ""11000"": 3}","{""00000"": 1000}"
19,"{""1000"": 6, ""0000"": 938, ""0010"": 36, ""0001"": 10, ""0100"": 6, ""0110"": 3, ""0101"": 1}","{""0000"": 1000}"
20,"{""01"": 498, ""00"": 5, ""11"": 491, ""10"": 6}","{""11"": 523, ""01"": 477}"
21,"{""001"": 96, ""101"": 453, ""100"": 234, ""000"": 163, ""111"": 28, ""110"": 11, ""010"": 11, ""011"": 4}","{""101"": 446, ""000"": 173, ""111"": 21, ""001"": 91, ""100"": 241, ""110"": 13, ""011"": 8, ""010"": 7}"
23,"{""1000"": 22, ""0000"": 891, ""0100"": 19, ""1011"": 1, ""0010"": 19, ""0001"": 32, ""1001"": 2, ""1010"": 12, ""1110"": 1, ""1100"": 1}","{""0000"": 1000}"
26,"{""001"": 861, ""000"": 71, ""101"": 40, ""011"": 13, ""100"": 6, ""110"": 3, ""010"": 4, ""111"": 2}","{""001"": 954, ""000"": 46}"
27,"{""0110"": 4, ""0001"": 49, ""1001"": 66, ""0000"": 258, ""1000"": 210, ""1100"": 158, ""0100"": 131, ""0101"": 43, ""1101"": 43, ""1110"": 11, ""0010"": 15, ""1111"": 2, ""1010"": 5, ""0011"": 3, ""1011"": 1, ""0111"": 1}","{""1001"": 72, ""0001"": 64, ""0000"": 247, ""1000"": 260, ""0101"": 33, ""1101"": 27, ""0100"": 155, ""1100"": 142}"
30,"{""01000"": 18, ""00000"": 850, ""11000"": 8, ""00001"": 43, ""00010"": 36, ""00100"": 14, ""00011"": 3, ""00110"": 9, ""01001"": 2, ""00101"": 6, ""10010"": 1, ""00111"": 1, ""10000"": 7, ""10001"": 2}","{""00000"": 984, ""00101"": 13, ""00110"": 3}"
31,"{""00"": 916, ""01"": 77, ""10"": 7}","{""00"": 928, ""01"": 72}"
34,"{""1000"": 9, ""0000"": 853, ""0010"": 21, ""0100"": 67, ""0110"": 11, ""1001"": 5, ""0001"": 28, ""1100"": 2, ""0101"": 3, ""0111"": 1}","{""0000"": 1000}"
35,"{""00"": 985, ""01"": 9, ""10"": 4, ""11"": 2}","{""00"": 1000}"
37,"{""00"": 990, ""01"": 6, ""10"": 4}","{""00"": 1000}"
38,"{""00100"": 765, ""00101"": 13, ""10100"": 100, ""00000"": 16, ""11100"": 13, ""01100"": 10, ""00011"": 14, ""10000"": 2, ""00110"": 33, ""00010"": 1, ""10011"": 10, ""10110"": 2, ""00111"": 3, ""11000"": 1, ""11101"": 4, ""00001"": 4, ""01110"": 2, ""11010"": 1, ""11011"": 3, ""01011"": 2, ""10001"": 1}","{""00100"": 1000}"
