circuit_index,noisy_counts,ideal_counts
0,"{""00"": 977, ""01"": 14, ""10"": 6, ""11"": 3}","{""00"": 984, ""01"": 16}"
1,"{""00"": 982, ""11"": 2, ""01"": 10, ""10"": 6}","{""00"": 1000}"
2,"{""0000"": 94, ""1000"": 799, ""1100"": 37, ""0010"": 4, ""1011"": 9, ""1001"": 13, ""1010"": 20, ""1101"": 5, ""0011"": 3, ""1111"": 2, ""0100"": 6, ""0001"": 1, ""1110"": 4, ""0110"": 2, ""0101"": 1}","{""0000"": 95, ""1000"": 905}"
3,"{""000"": 661, ""111"": 282, ""100"": 24, ""011"": 5, ""110"": 13, ""101"": 2, ""001"": 8, ""010"": 5}","{""111"": 322, ""000"": 678}"
4,"{""000"": 972, ""001"": 6, ""110"": 7, ""100"": 10, ""010"": 5}","{""000"": 1000}"
5,"{""000"": 884, ""110"": 4, ""010"": 78, ""100"": 16, ""001"": 9, ""101"": 7, ""011"": 2}","{""000"": 916, ""010"": 84}"
6,"{""11"": 399, ""00"": 573, ""10"": 9, ""01"": 19}","{""00"": 595, ""11"": 405}"
7,"{""10"": 858, ""00"": 131, ""11"": 11}","{""10"": 883, ""00"": 117}"
8,"{""01000"": 21, ""10001"": 6, ""00000"": 825, ""00010"": 17, ""01100"": 5, ""00011"": 2, ""00001"": 18, ""10000"": 36, ""00110"": 1, ""00100"": 52, ""10100"": 9, ""11000"": 2, ""00101"": 3, ""10101"": 2, ""10010"": 1}","{""00000"": 1000}"
9,"{""00"": 978, ""01"": 12, ""10"": 5, ""11"": 5}","{""00"": 1000}"
10,"{""00"": 488, ""01"": 503, ""10"": 4, ""11"": 5}","{""01"": 479, ""00"": 521}"
11,"{""00"": 479, ""10"": 510, ""01"": 6, ""11"": 5}","{""10"": 497, ""00"": 495, ""01"": 6, ""11"": 2}"
12,"{""011"": 689, ""010"": 286, ""000"": 3, ""001"": 18, ""110"": 2, ""111"": 2}","{""010"": 282, ""011"": 710, ""001"": 7, ""000"": 1}"
13,"{""001"": 30, ""000"": 875, ""011"": 8, ""111"": 30, ""010"": 30, ""100"": 15, ""110"": 7, ""101"": 5}","{""000"": 1000}"
14,"{""00"": 530, ""10"": 468, ""11"": 1, ""01"": 1}","{""00"": 502, ""10"": 498}"
15,"{""110"": 234, ""100"": 252, ""111"": 253, ""101"": 220, ""010"": 11, ""011"": 13, ""000"": 9, ""001"": 8}","{""111"": 242, ""100"": 253, ""101"": 239, ""110"": 266}"
16,"{""10100"": 8, ""00010"": 438, ""00011"": 12, ""10010"": 468, ""00100"": 4, ""00001"": 1, ""11010"": 7, ""00000"": 6, ""10110"": 16, ""00111"": 2, ""00110"": 16, ""10011"": 7, ""10000"": 6, ""11110"": 1, ""10001"": 1, ""10111"": 2, ""01010"": 3, ""01000"": 1, ""11000"": 1}","{""00010"": 505, ""10010"": 495}"
17,"{""000"": 986, ""010"": 8, ""001"": 4, ""100"": 2}","{""000"": 1000}"
