circuit_index,noisy_counts,ideal_counts
3063,"{""110"": 22, ""011"": 231, ""101"": 186, ""111"": 120, ""001"": 333, ""010"": 31, ""000"": 42, ""100"": 35}","{""001"": 295, ""111"": 156, ""101"": 158, ""011"": 248, ""000"": 48, ""110"": 24, ""010"": 44, ""100"": 27}"
3500,"{""1110"": 473, ""1000"": 261, ""1010"": 40, ""1100"": 32, ""0010"": 9, ""1101"": 11, ""1011"": 15, ""1111"": 31, ""0111"": 14, ""0110"": 47, ""0011"": 4, ""0001"": 9, ""0100"": 14, ""0000"": 23, ""1001"": 15, ""0101"": 2}","{""1110"": 598, ""0000"": 5, ""1000"": 391, ""0110"": 6}"
1499,"{""10000"": 688, ""00011"": 4, ""10100"": 127, ""11000"": 4, ""00000"": 27, ""01100"": 4, ""10001"": 45, ""00110"": 3, ""10110"": 12, ""11010"": 4, ""10111"": 7, ""10010"": 11, ""01000"": 2, ""00010"": 14, ""00100"": 10, ""01111"": 1, ""10011"": 5, ""00001"": 12, ""01010"": 3, ""10101"": 9, ""11100"": 2, ""00111"": 2, ""00101"": 1, ""01001"": 2, ""11101"": 1}","{""10000"": 832, ""10100"": 162, ""00000"": 5, ""00100"": 1}"
716,"{""01100"": 10, ""00000"": 590, ""00100"": 326, ""01000"": 14, ""11000"": 1, ""10000"": 16, ""00110"": 8, ""10100"": 8, ""01001"": 3, ""00010"": 11, ""01010"": 1, ""00101"": 2, ""10010"": 1, ""11100"": 2, ""01110"": 3, ""01111"": 1, ""00001"": 3}","{""00000"": 483, ""00100"": 517}"
535,"{""110"": 4, ""001"": 929, ""000"": 36, ""101"": 4, ""111"": 6, ""010"": 8, ""011"": 12, ""100"": 1}","{""001"": 973, ""000"": 27}"
3773,"{""11"": 601, ""00"": 221, ""10"": 79, ""01"": 99}","{""11"": 641, ""00"": 195, ""01"": 96, ""10"": 68}"
3980,"{""10010"": 89, ""10101"": 167, ""11100"": 9, ""10100"": 44, ""01010"": 25, ""00000"": 6, ""10111"": 83, ""11111"": 9, ""01011"": 51, ""00101"": 33, ""10011"": 157, ""00110"": 16, ""00011"": 27, ""11011"": 28, ""10001"": 48, ""01100"": 15, ""00010"": 23, ""00100"": 15, ""00111"": 14, ""11101"": 24, ""01001"": 8, ""00001"": 13, ""10110"": 18, ""01111"": 8, ""11110"": 6, ""01101"": 14, ""11010"": 7, ""01000"": 12, ""01110"": 9, ""11001"": 4, ""10000"": 14, ""11000"": 4}","{""10001"": 40, ""10010"": 86, ""10101"": 338, ""10011"": 186, ""01011"": 50, ""00101"": 33, ""10100"": 50, ""10111"": 57, ""11010"": 12, ""11101"": 26, ""00011"": 32, ""11011"": 20, ""01010"": 14, ""11001"": 3, ""00010"": 11, ""00100"": 6, ""00111"": 3, ""00001"": 2, ""10110"": 10, ""11100"": 6, ""11111"": 9, ""10000"": 3, ""11000"": 1, ""00000"": 1, ""11110"": 1}"
2433,"{""001"": 343, ""000"": 295, ""111"": 93, ""101"": 87, ""110"": 94, ""100"": 70, ""011"": 8, ""010"": 10}","{""001"": 327, ""110"": 123, ""100"": 79, ""000"": 294, ""111"": 108, ""101"": 69}"
3673,"{""10"": 20, ""01"": 359, ""00"": 445, ""11"": 176}","{""00"": 465, ""01"": 322, ""11"": 194, ""10"": 19}"
1444,"{""000"": 726, ""011"": 236, ""001"": 14, ""100"": 5, ""010"": 13, ""111"": 1, ""110"": 3, ""101"": 2}","{""011"": 275, ""000"": 725}"
3768,"{""011"": 34, ""010"": 2, ""101"": 644, ""100"": 35, ""111"": 127, ""001"": 140, ""000"": 12, ""110"": 6}","{""111"": 140, ""001"": 107, ""101"": 657, ""100"": 59, ""011"": 19, ""110"": 10, ""000"": 7, ""010"": 1}"
3705,"{""00"": 573, ""10"": 348, ""01"": 70, ""11"": 9}","{""00"": 579, ""10"": 376, ""01"": 42, ""11"": 3}"
3794,"{""1110"": 224, ""0110"": 447, ""1000"": 15, ""0010"": 146, ""0111"": 29, ""0000"": 30, ""0100"": 45, ""1001"": 3, ""0001"": 7, ""1100"": 18, ""1101"": 3, ""1011"": 6, ""0101"": 3, ""1111"": 11, ""1010"": 6, ""0011"": 7}","{""0110"": 480, ""1110"": 271, ""0010"": 209, ""1000"": 12, ""0000"": 17, ""0100"": 11}"
2707,"{""11"": 702, ""00"": 193, ""01"": 91, ""10"": 14}","{""11"": 704, ""00"": 205, ""01"": 85, ""10"": 6}"
