circuit_index,noisy_counts,ideal_counts
2654,"{""01"": 496, ""11"": 484, ""10"": 14, ""00"": 6}","{""11"": 503, ""01"": 497}"
3120,"{""1000"": 110, ""1100"": 28, ""1010"": 677, ""1101"": 15, ""0000"": 10, ""1110"": 57, ""1011"": 10, ""1111"": 19, ""0101"": 1, ""0001"": 3, ""0010"": 17, ""0110"": 15, ""0011"": 7, ""0111"": 10, ""1001"": 13, ""0100"": 8}","{""1010"": 998, ""1000"": 2}"
3910,"{""110"": 200, ""011"": 137, ""111"": 283, ""010"": 304, ""100"": 24, ""000"": 23, ""101"": 17, ""001"": 12}","{""010"": 253, ""111"": 316, ""110"": 227, ""011"": 182, ""000"": 14, ""100"": 8}"
2632,"{""000"": 324, ""011"": 576, ""100"": 11, ""010"": 32, ""110"": 15, ""101"": 9, ""001"": 18, ""111"": 15}","{""000"": 389, ""011"": 611}"
3335,"{""10110"": 32, ""00101"": 99, ""10101"": 328, ""00100"": 18, ""00001"": 49, ""10111"": 31, ""10001"": 34, ""01101"": 13, ""10100"": 33, ""00011"": 117, ""10010"": 5, ""10011"": 35, ""01001"": 17, ""11100"": 9, ""01011"": 14, ""00111"": 45, ""11101"": 18, ""01111"": 7, ""00000"": 17, ""00010"": 7, ""11000"": 3, ""01000"": 9, ""00110"": 10, ""11010"": 4, ""11111"": 7, ""10000"": 4, ""01100"": 7, ""01110"": 2, ""11011"": 6, ""01010"": 5, ""11001"": 12, ""11110"": 3}","{""00011"": 238, ""10101"": 623, ""00101"": 40, ""10110"": 50, ""10011"": 22, ""00000"": 23, ""00110"": 4}"
2766,"{""0011"": 511, ""0000"": 22, ""1001"": 19, ""0001"": 330, ""1111"": 13, ""0101"": 11, ""0010"": 24, ""1101"": 10, ""0100"": 4, ""1110"": 6, ""0110"": 6, ""1011"": 8, ""1100"": 10, ""1010"": 10, ""0111"": 11, ""1000"": 5}","{""0011"": 637, ""0001"": 363}"
596,"{""00000"": 897, ""10000"": 31, ""00010"": 14, ""10100"": 16, ""00100"": 17, ""10110"": 3, ""00001"": 2, ""10010"": 3, ""10011"": 1, ""10001"": 1, ""00110"": 4, ""00111"": 4, ""10111"": 1, ""10101"": 2, ""00101"": 3, ""00011"": 1}","{""00000"": 1000}"
179,"{""00001"": 7, ""10000"": 225, ""01011"": 1, ""11000"": 206, ""10001"": 241, ""11001"": 203, ""00100"": 2, ""10011"": 13, ""01001"": 8, ""00000"": 15, ""10100"": 7, ""01010"": 2, ""10111"": 2, ""01000"": 11, ""01101"": 6, ""11010"": 6, ""10010"": 14, ""10101"": 7, ""11011"": 3, ""00010"": 2, ""11101"": 4, ""00101"": 1, ""11100"": 1, ""11111"": 3, ""01100"": 2, ""10110"": 2, ""00011"": 2, ""11110"": 3, ""01111"": 1}","{""10000"": 262, ""11000"": 248, ""10001"": 244, ""11001"": 246}"
687,"{""00000"": 468, ""10000"": 413, ""10010"": 7, ""01001"": 4, ""00110"": 3, ""10100"": 9, ""01000"": 19, ""00100"": 8, ""01010"": 7, ""11010"": 3, ""00001"": 5, ""01011"": 3, ""00010"": 18, ""11000"": 18, ""11110"": 1, ""10001"": 5, ""11011"": 1, ""10110"": 4, ""00011"": 1, ""00101"": 2, ""11001"": 1}","{""11000"": 8, ""10000"": 498, ""01000"": 2, ""00000"": 492}"
2238,"{""01110"": 72, ""00010"": 79, ""00110"": 305, ""11110"": 18, ""10010"": 197, ""11010"": 52, ""10110"": 70, ""10000"": 21, ""00101"": 7, ""10101"": 11, ""01111"": 7, ""10100"": 7, ""10011"": 16, ""10111"": 8, ""11100"": 4, ""01010"": 23, ""00000"": 8, ""00100"": 28, ""00001"": 9, ""11111"": 4, ""11000"": 7, ""00111"": 13, ""11101"": 4, ""01100"": 8, ""01000"": 1, ""01011"": 8, ""11001"": 2, ""00011"": 5, ""10001"": 2, ""01101"": 1, ""11011"": 2, ""01001"": 1}","{""00110"": 424, ""10010"": 350, ""10110"": 36, ""01110"": 78, ""00010"": 49, ""11010"": 50, ""01010"": 6, ""11110"": 7}"
2045,"{""1000"": 417, ""1010"": 15, ""1111"": 7, ""0001"": 16, ""1001"": 453, ""0101"": 6, ""0110"": 1, ""1100"": 23, ""1101"": 14, ""1011"": 14, ""0010"": 2, ""0000"": 17, ""0011"": 2, ""1110"": 7, ""0100"": 6}","{""1000"": 493, ""1001"": 507}"
3106,"{""000"": 919, ""001"": 38, ""100"": 12, ""010"": 12, ""011"": 8, ""111"": 7, ""110"": 3, ""101"": 1}","{""000"": 1000}"
