circuit_index,noisy_counts,ideal_counts
1500,"{""11"": 246, ""00"": 235, ""10"": 248, ""01"": 271}","{""01"": 269, ""11"": 242, ""10"": 263, ""00"": 226}"
1501,"{""000"": 811, ""100"": 48, ""010"": 39, ""001"": 31, ""011"": 27, ""111"": 15, ""110"": 14, ""101"": 15}","{""000"": 1000}"
1502,"{""11"": 254, ""01"": 376, ""00"": 131, ""10"": 239}","{""01"": 351, ""11"": 265, ""10"": 229, ""00"": 155}"
1503,"{""011"": 235, ""101"": 213, ""001"": 227, ""111"": 227, ""000"": 30, ""010"": 35, ""100"": 14, ""110"": 19}","{""011"": 256, ""101"": 247, ""001"": 244, ""111"": 220, ""010"": 18, ""000"": 15}"
1504,"{""0001"": 60, ""1000"": 28, ""0000"": 694, ""0100"": 53, ""0011"": 13, ""1111"": 2, ""0010"": 62, ""0101"": 11, ""1001"": 15, ""0110"": 17, ""1100"": 8, ""1010"": 16, ""1011"": 4, ""0111"": 7, ""1101"": 4, ""1110"": 6}","{""0000"": 949, ""0001"": 51}"
1505,"{""1000"": 42, ""0000"": 572, ""0001"": 18, ""1010"": 224, ""0010"": 41, ""1100"": 5, ""0011"": 3, ""0100"": 58, ""1110"": 12, ""1001"": 5, ""1011"": 5, ""0110"": 13, ""0101"": 2}","{""1000"": 28, ""0000"": 706, ""1010"": 251, ""0010"": 12, ""0110"": 2, ""1100"": 1}"
1506,"{""11100"": 2, ""10011"": 30, ""00010"": 15, ""00011"": 229, ""11111"": 45, ""00111"": 342, ""11110"": 43, ""00110"": 18, ""01110"": 76, ""00000"": 2, ""01111"": 103, ""01011"": 13, ""00101"": 13, ""10111"": 30, ""11010"": 2, ""01010"": 8, ""11000"": 1, ""01100"": 3, ""00001"": 8, ""01101"": 1, ""10110"": 2, ""11101"": 1, ""10101"": 1, ""10001"": 3, ""01000"": 2, ""11011"": 2, ""11001"": 1, ""00100"": 2, ""01001"": 1, ""10010"": 1}","{""10011"": 14, ""10111"": 8, ""01111"": 125, ""00011"": 310, ""11110"": 25, ""11111"": 22, ""00111"": 415, ""01110"": 80, ""00001"": 1}"
1507,"{""00"": 394, ""10"": 372, ""01"": 104, ""11"": 130}","{""00"": 402, ""01"": 123, ""10"": 363, ""11"": 112}"
1508,"{""001"": 44, ""000"": 437, ""100"": 454, ""010"": 6, ""101"": 36, ""110"": 16, ""111"": 4, ""011"": 3}","{""100"": 476, ""000"": 466, ""101"": 29, ""001"": 29}"
1509,"{""00001"": 427, ""10001"": 17, ""00000"": 425, ""10010"": 10, ""00011"": 18, ""00111"": 3, ""10110"": 16, ""10111"": 17, ""10100"": 2, ""00010"": 17, ""00101"": 9, ""00100"": 7, ""01000"": 4, ""01001"": 4, ""10000"": 15, ""10011"": 4, ""10101"": 2, ""00110"": 3}","{""00001"": 505, ""00000"": 495}"
1510,"{""1000"": 41, ""0000"": 809, ""1001"": 23, ""0001"": 16, ""0110"": 11, ""1100"": 6, ""0100"": 60, ""0010"": 21, ""1101"": 4, ""1110"": 3, ""1111"": 1, ""1011"": 3, ""1010"": 2}","{""0000"": 1000}"
1511,"{""1101"": 32, ""0100"": 11, ""0000"": 6, ""1000"": 436, ""1100"": 24, ""1010"": 23, ""1001"": 428, ""1111"": 7, ""1011"": 13, ""0011"": 3, ""0001"": 8, ""0101"": 7, ""0111"": 1, ""1110"": 1}","{""1001"": 491, ""1000"": 509}"
1512,"{""10100"": 54, ""01010"": 5, ""10000"": 165, ""00111"": 6, ""10110"": 160, ""00110"": 244, ""00100"": 65, ""00000"": 187, ""10010"": 16, ""01110"": 6, ""11110"": 12, ""10001"": 10, ""00010"": 14, ""00001"": 10, ""10111"": 10, ""00101"": 6, ""11000"": 4, ""10101"": 5, ""11100"": 4, ""11001"": 1, ""01101"": 4, ""01000"": 3, ""10011"": 2, ""01100"": 2, ""11101"": 2, ""00011"": 1, ""01111"": 2}","{""00000"": 220, ""00110"": 271, ""10110"": 197, ""00100"": 61, ""10000"": 200, ""10100"": 51}"
1513,"{""11"": 92, ""01"": 490, ""00"": 410, ""10"": 8}","{""01"": 496, ""00"": 405, ""11"": 99}"
1514,"{""001"": 480, ""101"": 466, ""000"": 20, ""100"": 10, ""111"": 4, ""011"": 13, ""110"": 5, ""010"": 2}","{""001"": 525, ""101"": 475}"
1515,"{""0000"": 719, ""1001"": 6, ""0001"": 133, ""0010"": 74, ""0110"": 3, ""0100"": 13, ""1100"": 3, ""1110"": 5, ""1000"": 16, ""0101"": 7, ""0011"": 18, ""0111"": 2, ""1011"": 1}","{""0000"": 773, ""0001"": 164, ""0010"": 54, ""0011"": 9}"
1516,"{""01110"": 11, ""00101"": 276, ""11000"": 7, ""10000"": 80, ""10001"": 91, ""10101"": 18, ""00100"": 347, ""10111"": 2, ""01100"": 9, ""10010"": 13, ""11010"": 5, ""00001"": 17, ""00111"": 15, ""10100"": 22, ""00110"": 21, ""01101"": 12, ""00000"": 24, ""10011"": 10, ""11110"": 2, ""11001"": 4, ""01000"": 2, ""01111"": 6, ""11011"": 1, ""11111"": 2, ""00010"": 2, ""10110"": 1}","{""10101"": 1, ""00100"": 400, ""10100"": 4, ""00101"": 400, ""10001"": 111, ""10000"": 84}"
1517,"{""1001"": 20, ""1010"": 19, ""0010"": 17, ""1011"": 251, ""0011"": 231, ""1000"": 176, ""0000"": 202, ""0101"": 12, ""0001"": 20, ""0111"": 11, ""1111"": 18, ""1100"": 11, ""0100"": 5, ""1110"": 3, ""1101"": 4}","{""1011"": 277, ""0011"": 274, ""0000"": 217, ""1000"": 232}"
1518,"{""1001"": 10, ""1010"": 860, ""1011"": 18, ""0010"": 38, ""1110"": 8, ""1111"": 11, ""1101"": 15, ""1000"": 20, ""1100"": 6, ""0011"": 5, ""0100"": 4, ""0110"": 2, ""0111"": 1, ""0000"": 2}","{""1010"": 1000}"
1519,"{""000"": 263, ""001"": 232, ""111"": 208, ""100"": 202, ""110"": 30, ""010"": 26, ""011"": 21, ""101"": 18}","{""111"": 236, ""000"": 243, ""100"": 233, ""001"": 218, ""101"": 21, ""011"": 19, ""110"": 12, ""010"": 18}"
1520,"{""10"": 965, ""00"": 26, ""11"": 7, ""01"": 2}","{""10"": 1000}"
1521,"{""01"": 176, ""10"": 324, ""11"": 339, ""00"": 161}","{""00"": 170, ""11"": 298, ""10"": 356, ""01"": 176}"
1522,"{""011"": 164, ""000"": 459, ""010"": 324, ""100"": 16, ""001"": 9, ""110"": 16, ""111"": 12}","{""000"": 510, ""010"": 312, ""011"": 178}"
1523,"{""01100"": 330, ""11110"": 5, ""00100"": 303, ""01000"": 84, ""01110"": 24, ""00001"": 9, ""00111"": 11, ""00010"": 9, ""01111"": 5, ""00000"": 92, ""00101"": 18, ""10000"": 7, ""00110"": 23, ""01001"": 3, ""01010"": 6, ""10100"": 13, ""11111"": 1, ""11100"": 17, ""10101"": 3, ""11000"": 7, ""11101"": 1, ""01101"": 16, ""00011"": 2, ""10110"": 6, ""10111"": 2, ""10010"": 1, ""10001"": 1, ""01011"": 1}","{""00100"": 382, ""01100"": 402, ""01000"": 111, ""00000"": 105}"
1524,"{""10110"": 368, ""00010"": 356, ""00011"": 10, ""01100"": 2, ""11110"": 24, ""00000"": 73, ""00001"": 4, ""10100"": 88, ""00110"": 12, ""11100"": 7, ""01010"": 17, ""10111"": 10, ""10000"": 4, ""01000"": 7, ""10101"": 2, ""10010"": 5, ""01011"": 2, ""11111"": 5, ""11010"": 1, ""00100"": 3}","{""10110"": 451, ""00000"": 83, ""00010"": 391, ""10100"": 75}"
1525,"{""11"": 597, ""10"": 201, ""01"": 164, ""00"": 38}","{""11"": 607, ""10"": 233, ""01"": 135, ""00"": 25}"
1526,"{""1111"": 290, ""0110"": 26, ""1110"": 225, ""0100"": 4, ""1101"": 33, ""1000"": 10, ""1100"": 22, ""1011"": 148, ""1010"": 108, ""1001"": 36, ""0010"": 21, ""0011"": 15, ""0101"": 8, ""0111"": 47, ""0000"": 1, ""0001"": 6}","{""1110"": 258, ""1111"": 322, ""1001"": 29, ""1010"": 103, ""1011"": 144, ""0011"": 15, ""0111"": 40, ""1000"": 9, ""1101"": 32, ""0010"": 9, ""0110"": 29, ""0101"": 5, ""1100"": 4, ""0001"": 1}"
1527,"{""1000"": 55, ""0000"": 791, ""0100"": 71, ""0001"": 16, ""1100"": 12, ""0101"": 10, ""0010"": 21, ""0110"": 6, ""0011"": 2, ""1001"": 11, ""0111"": 1, ""1010"": 2, ""1101"": 1, ""1110"": 1}","{""0000"": 999, ""0001"": 1}"
1528,"{""00001"": 191, ""10000"": 22, ""00010"": 225, ""00111"": 10, ""00000"": 238, ""00011"": 173, ""10010"": 21, ""00100"": 16, ""00110"": 13, ""01111"": 4, ""10001"": 13, ""01000"": 16, ""01011"": 10, ""01001"": 6, ""01010"": 12, ""10011"": 13, ""10111"": 2, ""01101"": 1, ""00101"": 8, ""11010"": 1, ""11001"": 2, ""11000"": 2, ""10110"": 1}","{""00001"": 238, ""00011"": 223, ""00010"": 274, ""00000"": 265}"
1529,"{""011"": 276, ""100"": 109, ""101"": 53, ""010"": 84, ""110"": 267, ""001"": 104, ""000"": 61, ""111"": 46}","{""101"": 49, ""011"": 326, ""110"": 264, ""100"": 96, ""111"": 50, ""010"": 79, ""000"": 54, ""001"": 82}"
1530,"{""1010"": 202, ""1110"": 211, ""1111"": 192, ""0110"": 37, ""0010"": 28, ""1011"": 218, ""1000"": 11, ""0111"": 40, ""0001"": 2, ""0011"": 30, ""0100"": 2, ""0000"": 3, ""1100"": 7, ""0101"": 4, ""1001"": 6, ""1101"": 7}","{""1010"": 221, ""0010"": 20, ""1011"": 212, ""0110"": 22, ""1111"": 248, ""1110"": 232, ""0111"": 22, ""0011"": 23}"
1531,"{""00000"": 217, ""10000"": 205, ""00101"": 169, ""00100"": 33, ""10101"": 218, ""00010"": 7, ""11100"": 14, ""01100"": 23, ""10001"": 18, ""00111"": 14, ""01010"": 2, ""11000"": 6, ""10100"": 20, ""10010"": 8, ""00011"": 4, ""10111"": 10, ""01001"": 4, ""00001"": 10, ""01000"": 2, ""00110"": 2, ""11001"": 2, ""11110"": 1, ""10011"": 2, ""11101"": 3, ""01101"": 4, ""11010"": 1, ""10110"": 1}","{""10101"": 234, ""01100"": 23, ""10000"": 233, ""00101"": 254, ""00000"": 228, ""11100"": 28}"
1532,"{""110"": 438, ""100"": 154, ""111"": 191, ""011"": 182, ""101"": 10, ""010"": 9, ""001"": 8, ""000"": 8}","{""011"": 210, ""110"": 436, ""111"": 224, ""100"": 130}"
1533,"{""00"": 935, ""01"": 53, ""10"": 12}","{""00"": 1000}"
1534,"{""001"": 834, ""100"": 7, ""011"": 12, ""110"": 12, ""000"": 86, ""101"": 27, ""010"": 15, ""111"": 7}","{""001"": 973, ""000"": 27}"
1535,"{""00"": 982, ""10"": 11, ""01"": 6, ""11"": 1}","{""00"": 1000}"
1536,"{""10010"": 35, ""01110"": 77, ""11010"": 39, ""00000"": 182, ""01000"": 161, ""11000"": 75, ""01010"": 91, ""10000"": 62, ""00010"": 98, ""01100"": 9, ""11110"": 29, ""00110"": 86, ""00100"": 6, ""10110"": 24, ""10001"": 2, ""00111"": 4, ""11111"": 2, ""01001"": 3, ""01111"": 1, ""01011"": 1, ""00011"": 4, ""11011"": 1, ""10100"": 3, ""10011"": 1, ""11100"": 3, ""00001"": 1}","{""01110"": 78, ""00110"": 94, ""00000"": 192, ""01000"": 218, ""00010"": 107, ""10110"": 32, ""10000"": 58, ""10010"": 28, ""11010"": 20, ""01010"": 108, ""11000"": 40, ""11110"": 25}"
1537,"{""000"": 898, ""100"": 31, ""011"": 10, ""001"": 17, ""010"": 22, ""101"": 13, ""111"": 7, ""110"": 2}","{""000"": 1000}"
1538,"{""00000"": 6, ""01000"": 6, ""11010"": 603, ""00111"": 85, ""01010"": 41, ""11000"": 24, ""10000"": 107, ""01111"": 8, ""01011"": 9, ""01110"": 12, ""11100"": 2, ""10011"": 1, ""00110"": 8, ""11011"": 12, ""01101"": 12, ""00101"": 4, ""10010"": 17, ""10001"": 7, ""11110"": 8, ""11111"": 3, ""00010"": 4, ""10111"": 3, ""10100"": 2, ""11001"": 2, ""00001"": 5, ""10101"": 1, ""01100"": 4, ""00100"": 2, ""01001"": 1, ""00011"": 1}","{""11010"": 737, ""00111"": 108, ""10000"": 135, ""01101"": 20}"
1539,"{""01"": 157, ""11"": 368, ""10"": 328, ""00"": 147}","{""10"": 360, ""00"": 136, ""01"": 150, ""11"": 354}"
1540,"{""1111"": 13, ""0110"": 367, ""0111"": 368, ""1100"": 7, ""0011"": 79, ""0010"": 82, ""0100"": 22, ""1110"": 13, ""0101"": 20, ""0000"": 7, ""0001"": 6, ""1000"": 2, ""1101"": 6, ""1011"": 4, ""1010"": 4}","{""0110"": 417, ""0111"": 422, ""0011"": 80, ""0010"": 81}"
