circuit_index,noisy_counts,ideal_counts
1000,"{""11"": 664, ""10"": 279, ""01"": 38, ""00"": 19}","{""01"": 47, ""11"": 667, ""10"": 270, ""00"": 16}"
1001,"{""000"": 888, ""100"": 32, ""011"": 6, ""101"": 15, ""010"": 28, ""001"": 24, ""110"": 3, ""111"": 4}","{""000"": 1000}"
1002,"{""00"": 488, ""10"": 506, ""01"": 3, ""11"": 3}","{""10"": 507, ""00"": 493}"
1003,"{""00"": 622, ""11"": 238, ""10"": 127, ""01"": 13}","{""00"": 653, ""11"": 234, ""10"": 113}"
1004,"{""1000"": 15, ""0000"": 841, ""0010"": 53, ""0001"": 11, ""0100"": 43, ""1100"": 9, ""1110"": 6, ""0110"": 5, ""1101"": 8, ""1001"": 4, ""0101"": 3, ""0011"": 2}","{""0000"": 973, ""0010"": 27}"
1005,"{""001"": 351, ""100"": 435, ""101"": 165, ""000"": 36, ""011"": 5, ""111"": 1, ""110"": 7}","{""100"": 479, ""001"": 340, ""101"": 135, ""000"": 46}"
1006,"{""010"": 413, ""000"": 432, ""101"": 50, ""110"": 18, ""111"": 43, ""011"": 11, ""001"": 14, ""100"": 19}","{""010"": 452, ""000"": 447, ""101"": 52, ""111"": 49}"
1007,"{""111"": 446, ""011"": 469, ""101"": 26, ""010"": 11, ""001"": 14, ""110"": 27, ""000"": 5, ""100"": 2}","{""111"": 489, ""011"": 511}"
1008,"{""00"": 983, ""10"": 7, ""01"": 9, ""11"": 1}","{""00"": 1000}"
1009,"{""010"": 252, ""000"": 226, ""110"": 266, ""100"": 243, ""101"": 3, ""011"": 4, ""001"": 1, ""111"": 5}","{""110"": 251, ""010"": 245, ""000"": 240, ""100"": 263, ""011"": 1}"
1010,"{""000"": 931, ""001"": 20, ""010"": 13, ""100"": 23, ""011"": 3, ""101"": 9, ""110"": 1}","{""000"": 1000}"
1011,"{""010"": 700, ""000"": 95, ""001"": 20, ""011"": 157, ""110"": 16, ""111"": 7, ""100"": 3, ""101"": 2}","{""011"": 153, ""010"": 759, ""000"": 73, ""001"": 15}"
1012,"{""1000"": 45, ""0000"": 711, ""1110"": 23, ""0101"": 14, ""0110"": 18, ""0010"": 29, ""0001"": 42, ""0100"": 39, ""1100"": 25, ""1001"": 9, ""1111"": 4, ""1011"": 4, ""1010"": 12, ""0011"": 20, ""0111"": 3, ""1101"": 2}","{""0000"": 1000}"
1013,"{""000"": 792, ""101"": 2, ""110"": 10, ""010"": 162, ""100"": 12, ""011"": 7, ""001"": 6, ""111"": 9}","{""000"": 840, ""010"": 160}"
1014,"{""00"": 975, ""10"": 14, ""11"": 5, ""01"": 6}","{""00"": 1000}"
1015,"{""1000"": 16, ""0000"": 916, ""0001"": 31, ""1001"": 6, ""0010"": 8, ""1100"": 8, ""0100"": 11, ""0111"": 1, ""1010"": 1, ""0110"": 2}","{""0000"": 1000}"
1016,"{""110"": 240, ""100"": 251, ""011"": 244, ""101"": 229, ""010"": 13, ""001"": 13, ""111"": 6, ""000"": 4}","{""101"": 261, ""011"": 232, ""100"": 239, ""110"": 268}"
1017,"{""000"": 885, ""010"": 28, ""111"": 4, ""100"": 43, ""001"": 17, ""011"": 17, ""101"": 5, ""110"": 1}","{""000"": 1000}"
1018,"{""1101"": 9, ""0100"": 399, ""0000"": 377, ""0001"": 31, ""0110"": 28, ""1111"": 8, ""0101"": 32, ""0010"": 28, ""1000"": 23, ""1100"": 30, ""1001"": 11, ""1011"": 6, ""1010"": 5, ""0111"": 5, ""1110"": 5, ""0011"": 3}","{""0000"": 495, ""0100"": 505}"
1019,"{""000"": 507, ""010"": 465, ""001"": 5, ""110"": 6, ""100"": 10, ""011"": 2, ""101"": 3, ""111"": 2}","{""010"": 524, ""000"": 476}"
