circuit_index,noisy_counts,ideal_counts
2500,"{""00010"": 174, ""11001"": 6, ""10001"": 4, ""00000"": 387, ""00110"": 188, ""10111"": 4, ""00101"": 12, ""11000"": 4, ""01000"": 15, ""10010"": 16, ""01001"": 15, ""00011"": 13, ""10000"": 26, ""10011"": 6, ""10100"": 2, ""01111"": 10, ""01010"": 9, ""10110"": 20, ""10101"": 5, ""00001"": 29, ""00100"": 18, ""11010"": 2, ""01110"": 8, ""00111"": 14, ""01101"": 4, ""01011"": 4, ""11100"": 1, ""11011"": 2, ""11110"": 1, ""11111"": 1}","{""00110"": 275, ""00000"": 467, ""00010"": 231, ""00111"": 9, ""00001"": 8, ""00011"": 10}"
2501,"{""0101"": 419, ""0001"": 407, ""0111"": 66, ""0011"": 63, ""0000"": 16, ""1101"": 3, ""0100"": 16, ""0110"": 1, ""1100"": 4, ""0010"": 2, ""1000"": 1, ""1001"": 1, ""1111"": 1}","{""0101"": 457, ""0001"": 424, ""0111"": 59, ""1000"": 6, ""0011"": 54}"
2502,"{""11"": 471, ""01"": 509, ""10"": 10, ""00"": 10}","{""11"": 490, ""01"": 501, ""10"": 6, ""00"": 3}"
2503,"{""11000"": 200, ""00001"": 48, ""01010"": 14, ""11001"": 114, ""10001"": 33, ""00000"": 158, ""10011"": 98, ""00010"": 17, ""11011"": 24, ""10100"": 4, ""01011"": 10, ""00011"": 13, ""10010"": 16, ""10000"": 38, ""01111"": 9, ""10111"": 8, ""11010"": 25, ""01000"": 51, ""00100"": 18, ""11100"": 20, ""01110"": 2, ""01001"": 29, ""01101"": 11, ""10101"": 4, ""11101"": 14, ""00101"": 6, ""00110"": 5, ""01100"": 6, ""11111"": 2, ""11110"": 1, ""10110"": 1, ""00111"": 1}","{""00001"": 64, ""11000"": 330, ""00000"": 245, ""11001"": 198, ""10011"": 163}"
2504,"{""000"": 402, ""010"": 33, ""100"": 446, ""110"": 31, ""011"": 13, ""001"": 32, ""101"": 19, ""111"": 24}","{""100"": 465, ""000"": 535}"
2505,"{""00100"": 32, ""10101"": 9, ""00001"": 61, ""01010"": 7, ""01000"": 88, ""00000"": 611, ""00101"": 11, ""00010"": 50, ""00111"": 3, ""00110"": 5, ""10001"": 11, ""01101"": 3, ""11000"": 13, ""00011"": 9, ""10000"": 41, ""11001"": 5, ""01001"": 7, ""01111"": 2, ""01100"": 8, ""10011"": 9, ""11101"": 1, ""10010"": 5, ""10100"": 1, ""01011"": 3, ""10111"": 2, ""01110"": 2, ""11011"": 1}","{""01000"": 94, ""00000"": 906}"
2506,"{""101"": 470, ""011"": 261, ""010"": 90, ""100"": 66, ""110"": 22, ""000"": 31, ""111"": 26, ""001"": 34}","{""000"": 24, ""101"": 570, ""010"": 77, ""111"": 21, ""011"": 259, ""100"": 20, ""110"": 22, ""001"": 7}"
2507,"{""01110"": 324, ""01101"": 43, ""11110"": 131, ""01010"": 42, ""00110"": 131, ""01111"": 48, ""00010"": 29, ""01011"": 9, ""11100"": 18, ""00100"": 21, ""11011"": 10, ""10110"": 48, ""00101"": 5, ""00111"": 24, ""11000"": 5, ""11010"": 20, ""11111"": 21, ""01000"": 7, ""00000"": 2, ""10010"": 8, ""11101"": 6, ""01100"": 21, ""00001"": 1, ""11001"": 2, ""10111"": 5, ""01001"": 3, ""00011"": 4, ""10011"": 2, ""10100"": 8, ""10000"": 1, ""10101"": 1}","{""11101"": 1, ""01110"": 508, ""00110"": 169, ""01101"": 34, ""11110"": 151, ""01010"": 27, ""00111"": 6, ""10110"": 51, ""00100"": 2, ""00010"": 5, ""00101"": 13, ""01111"": 13, ""11010"": 3, ""01100"": 8, ""10010"": 2, ""10100"": 4, ""11100"": 3}"
2508,"{""0000"": 350, ""0001"": 25, ""1001"": 11, ""1010"": 40, ""0010"": 462, ""0111"": 3, ""0011"": 31, ""1101"": 4, ""0100"": 10, ""0101"": 3, ""1000"": 32, ""0110"": 6, ""1100"": 7, ""1011"": 9, ""1111"": 7}","{""0010"": 585, ""0000"": 415}"
2509,"{""1010"": 48, ""0001"": 28, ""1001"": 455, ""1000"": 253, ""1011"": 95, ""1111"": 4, ""1101"": 13, ""1110"": 14, ""0000"": 24, ""0111"": 7, ""1100"": 18, ""0110"": 6, ""0011"": 7, ""0100"": 7, ""0101"": 13, ""0010"": 8}","{""1010"": 46, ""1001"": 569, ""1000"": 292, ""1011"": 93}"
