circuit_index,noisy_counts,ideal_counts
2017,"{""00001"": 20, ""01010"": 97, ""11000"": 105, ""01001"": 14, ""10010"": 85, ""11111"": 2, ""11010"": 84, ""00010"": 80, ""10000"": 82, ""00011"": 15, ""11101"": 6, ""00000"": 75, ""01000"": 106, ""11011"": 19, ""11100"": 18, ""01011"": 13, ""11001"": 19, ""10100"": 12, ""01111"": 4, ""00100"": 16, ""00101"": 3, ""01101"": 3, ""00110"": 16, ""01100"": 19, ""11110"": 16, ""01110"": 14, ""10110"": 15, ""10001"": 11, ""00111"": 3, ""10111"": 6, ""10011"": 14, ""10101"": 8}","{""00010"": 85, ""10000"": 126, ""01010"": 162, ""11000"": 133, ""00000"": 103, ""11010"": 152, ""01000"": 136, ""10010"": 103}"
2018,"{""1000"": 23, ""0000"": 744, ""0010"": 61, ""0100"": 28, ""0110"": 19, ""0001"": 70, ""1100"": 4, ""0111"": 6, ""0011"": 15, ""0101"": 9, ""1001"": 9, ""1010"": 8, ""1111"": 2, ""1110"": 1, ""1101"": 1}","{""0000"": 1000}"
2019,"{""01"": 975, ""00"": 14, ""11"": 9, ""10"": 2}","{""01"": 1000}"
2020,"{""111"": 539, ""011"": 400, ""110"": 24, ""101"": 13, ""010"": 16, ""001"": 7, ""100"": 1}","{""011"": 410, ""111"": 575, ""101"": 11, ""001"": 4}"
2021,"{""10"": 36, ""11"": 545, ""01"": 403, ""00"": 16}","{""11"": 585, ""01"": 375, ""10"": 29, ""00"": 11}"
2022,"{""1000"": 50, ""0000"": 554, ""0010"": 32, ""0100"": 224, ""1001"": 20, ""0001"": 47, ""1100"": 17, ""0101"": 15, ""1010"": 9, ""0110"": 18, ""0011"": 3, ""1011"": 1, ""1101"": 7, ""0111"": 2, ""1110"": 1}","{""0000"": 718, ""0100"": 282}"
2023,"{""01111"": 27, ""00110"": 35, ""00010"": 689, ""00000"": 90, ""10000"": 8, ""01010"": 19, ""10010"": 36, ""00100"": 5, ""10101"": 1, ""00111"": 11, ""01000"": 19, ""11010"": 3, ""11111"": 12, ""10001"": 1, ""10011"": 4, ""10111"": 2, ""00001"": 7, ""00011"": 12, ""01110"": 4, ""10110"": 2, ""01100"": 3, ""11011"": 2, ""01011"": 7, ""11100"": 1}","{""00010"": 927, ""00000"": 73}"
2024,"{""11"": 470, ""10"": 510, ""00"": 6, ""01"": 14}","{""10"": 506, ""11"": 494}"
2025,"{""10"": 492, ""00"": 159, ""01"": 282, ""11"": 67}","{""11"": 67, ""10"": 482, ""01"": 298, ""00"": 153}"
2026,"{""100"": 267, ""110"": 274, ""000"": 212, ""010"": 224, ""101"": 11, ""001"": 3, ""011"": 6, ""111"": 3}","{""000"": 233, ""110"": 273, ""010"": 220, ""100"": 274}"
