circuit_index,noisy_counts,ideal_counts
2654,"{""11"": 505, ""01"": 482, ""10"": 10, ""00"": 3}","{""11"": 496, ""01"": 504}"
3120,"{""1010"": 656, ""0010"": 31, ""0001"": 6, ""1110"": 104, ""0111"": 11, ""1000"": 100, ""0000"": 16, ""1100"": 18, ""1111"": 16, ""0101"": 1, ""0011"": 5, ""1101"": 9, ""1001"": 6, ""0110"": 13, ""0100"": 3, ""1011"": 5}","{""1000"": 3, ""1010"": 997}"
3910,"{""011"": 136, ""010"": 300, ""111"": 291, ""101"": 12, ""110"": 199, ""000"": 30, ""001"": 11, ""100"": 21}","{""110"": 237, ""111"": 320, ""010"": 225, ""011"": 189, ""100"": 24, ""000"": 5}"
2632,"{""011"": 510, ""000"": 370, ""101"": 9, ""010"": 35, ""111"": 24, ""110"": 13, ""001"": 28, ""100"": 11}","{""011"": 624, ""000"": 376}"
3335,"{""00101"": 69, ""10101"": 336, ""10110"": 39, ""00011"": 143, ""00001"": 26, ""11101"": 30, ""01010"": 8, ""10111"": 35, ""10011"": 29, ""10001"": 42, ""01101"": 20, ""01001"": 19, ""11010"": 6, ""11011"": 11, ""00000"": 11, ""01110"": 5, ""00111"": 36, ""11001"": 29, ""01100"": 5, ""11100"": 7, ""00100"": 13, ""01000"": 2, ""10100"": 12, ""01011"": 15, ""00010"": 9, ""10010"": 8, ""11110"": 4, ""11111"": 7, ""01111"": 9, ""00110"": 7, ""10000"": 3, ""11000"": 5}","{""10101"": 618, ""00011"": 235, ""00110"": 3, ""00101"": 54, ""10011"": 23, ""10000"": 3, ""10110"": 41, ""00000"": 21, ""10111"": 2}"
2766,"{""0001"": 273, ""0110"": 13, ""0010"": 76, ""0011"": 505, ""0111"": 20, ""1011"": 5, ""1001"": 15, ""0101"": 7, ""1010"": 9, ""1111"": 15, ""1100"": 7, ""0000"": 36, ""1000"": 4, ""0100"": 8, ""1101"": 3, ""1110"": 4}","{""0011"": 676, ""0001"": 324}"
596,"{""00000"": 833, ""00001"": 71, ""00010"": 22, ""00011"": 1, ""01000"": 5, ""10000"": 21, ""00100"": 13, ""10100"": 13, ""10110"": 2, ""10010"": 4, ""00110"": 5, ""10001"": 5, ""10101"": 1, ""00111"": 2, ""10111"": 2}","{""00000"": 1000}"
179,"{""01110"": 3, ""10000"": 245, ""11101"": 5, ""10001"": 209, ""11001"": 198, ""01000"": 12, ""11000"": 226, ""11100"": 4, ""11010"": 4, ""00001"": 14, ""10101"": 5, ""01101"": 1, ""00000"": 18, ""00011"": 4, ""01100"": 1, ""01001"": 8, ""10010"": 10, ""10100"": 7, ""11011"": 5, ""00101"": 3, ""10110"": 2, ""10011"": 5, ""00100"": 1, ""11111"": 1, ""11110"": 3, ""00010"": 2, ""01011"": 2, ""01010"": 2}","{""11001"": 270, ""10001"": 252, ""11000"": 247, ""10000"": 231}"
687,"{""00000"": 417, ""10000"": 383, ""11000"": 28, ""01000"": 34, ""01010"": 3, ""00010"": 5, ""10100"": 37, ""00001"": 7, ""11010"": 4, ""00100"": 42, ""11111"": 1, ""10010"": 10, ""00110"": 8, ""01100"": 2, ""00011"": 2, ""10001"": 5, ""10101"": 1, ""01001"": 3, ""10110"": 3, ""01110"": 1, ""00111"": 2, ""01111"": 1, ""11100"": 1}","{""01000"": 6, ""00000"": 509, ""11000"": 5, ""10000"": 480}"
2238,"{""00000"": 9, ""10010"": 218, ""01110"": 86, ""10110"": 66, ""00110"": 340, ""00101"": 8, ""11110"": 18, ""00111"": 15, ""00010"": 61, ""00100"": 30, ""10101"": 9, ""01010"": 14, ""11101"": 3, ""11010"": 39, ""01001"": 1, ""10100"": 9, ""01100"": 11, ""00011"": 7, ""10011"": 10, ""10111"": 11, ""01000"": 2, ""10000"": 12, ""01111"": 8, ""11111"": 2, ""01011"": 2, ""10001"": 3, ""01101"": 1, ""11011"": 1, ""11000"": 2, ""00001"": 2}","{""10110"": 44, ""00110"": 431, ""10010"": 295, ""11010"": 55, ""01110"": 93, ""00010"": 64, ""01010"": 7, ""11110"": 11}"
2045,"{""1011"": 7, ""1001"": 500, ""1100"": 24, ""1000"": 371, ""1101"": 23, ""1110"": 9, ""0000"": 15, ""0001"": 23, ""1010"": 7, ""0100"": 3, ""1111"": 3, ""0101"": 6, ""0010"": 6, ""0111"": 2, ""0110"": 1}","{""1001"": 498, ""1000"": 502}"
3106,"{""000"": 878, ""001"": 50, ""110"": 5, ""010"": 19, ""100"": 15, ""011"": 16, ""111"": 10, ""101"": 7}","{""000"": 1000}"
3045,"{""00010"": 9, ""00000"": 107, ""00001"": 271, ""01000"": 21, ""00101"": 291, ""01001"": 32, ""01101"": 35, ""00100"": 88, ""00011"": 13, ""01100"": 19, ""10110"": 3, ""10111"": 15, ""11110"": 3, ""11001"": 5, ""11011"": 1, ""11100"": 2, ""11111"": 11, ""10100"": 11, ""10001"": 10, ""10101"": 8, ""00111"": 9, ""10000"": 6, ""10011"": 5, ""11101"": 3, ""01110"": 4, ""01111"": 3, ""11000"": 3, ""10010"": 4, ""01011"": 4, ""00110"": 3, ""11010"": 1}","{""00100"": 103, ""00001"": 325, ""00101"": 511, ""00000"": 61}"
2405,"{""100"": 933, ""000"": 12, ""010"": 30, ""111"": 11, ""110"": 7, ""101"": 5, ""011"": 2}","{""100"": 968, ""010"": 32}"
2502,"{""01"": 539, ""11"": 440, ""10"": 12, ""00"": 9}","{""01"": 496, ""11"": 495, ""10"": 4, ""00"": 5}"
2613,"{""00100"": 27, ""01000"": 103, ""00000"": 228, ""10100"": 178, ""11000"": 123, ""00101"": 6, ""11100"": 97, ""01110"": 9, ""01100"": 86, ""10000"": 15, ""00001"": 12, ""10111"": 1, ""11010"": 8, ""01001"": 7, ""11101"": 10, ""10110"": 13, ""00010"": 13, ""10001"": 3, ""01010"": 7, ""00110"": 3, ""01101"": 14, ""10101"": 15, ""10011"": 1, ""11001"": 11, ""00111"": 1, ""10010"": 1, ""11110"": 3, ""11111"": 2, ""00011"": 2, ""01011"": 1}","{""01000"": 127, ""00000"": 265, ""11000"": 128, ""10100"": 210, ""01100"": 126, ""11100"": 144}"
1838,"{""101"": 445, ""001"": 525, ""100"": 6, ""000"": 9, ""111"": 7, ""011"": 8}","{""101"": 483, ""001"": 515, ""000"": 2}"
1302,"{""1101"": 7, ""1100"": 424, ""0010"": 67, ""1110"": 379, ""0000"": 67, ""0100"": 18, ""1000"": 8, ""1010"": 7, ""0011"": 1, ""0110"": 14, ""0111"": 2, ""0001"": 1, ""1111"": 3, ""0101"": 2}","{""1110"": 434, ""0010"": 81, ""1100"": 411, ""0000"": 74}"
3693,"{""1110"": 285, ""0110"": 210, ""0100"": 168, ""0000"": 17, ""1100"": 169, ""1010"": 26, ""1111"": 10, ""0101"": 18, ""1101"": 22, ""0010"": 34, ""0001"": 7, ""1011"": 5, ""1001"": 3, ""1000"": 14, ""0111"": 10, ""0011"": 2}","{""1110"": 264, ""1100"": 193, ""0110"": 324, ""0100"": 219}"
455,"{""000"": 391, ""010"": 566, ""011"": 9, ""100"": 14, ""001"": 8, ""110"": 8, ""111"": 2, ""101"": 2}","{""010"": 636, ""000"": 364}"
