circuit_index,noisy_counts,ideal_counts
3103,"{""00010"": 697, ""00110"": 6, ""10110"": 2, ""00111"": 18, ""00000"": 79, ""11001"": 7, ""00100"": 11, ""00011"": 24, ""11011"": 8, ""01100"": 4, ""00001"": 21, ""01010"": 29, ""10010"": 16, ""10111"": 10, ""01000"": 8, ""01011"": 18, ""11111"": 2, ""11101"": 3, ""10001"": 6, ""10101"": 2, ""11010"": 4, ""10000"": 4, ""01001"": 4, ""01111"": 3, ""10011"": 3, ""00101"": 2, ""01101"": 1, ""10100"": 3, ""11000"": 2, ""01110"": 1, ""11100"": 2}","{""00010"": 1000}"
256,"{""00100"": 938, ""00000"": 14, ""00101"": 25, ""00010"": 10, ""00110"": 9, ""01100"": 3, ""10100"": 1}","{""00100"": 1000}"
1955,"{""1110"": 23, ""1111"": 456, ""0011"": 237, ""0010"": 63, ""0110"": 111, ""0101"": 26, ""0001"": 17, ""0000"": 6, ""0100"": 13, ""0111"": 12, ""1001"": 2, ""1011"": 12, ""1100"": 3, ""1101"": 13, ""1010"": 5, ""1000"": 1}","{""0011"": 277, ""0110"": 66, ""1111"": 624, ""0010"": 22, ""0001"": 2, ""0101"": 7, ""0100"": 1, ""0000"": 1}"
1954,"{""010"": 246, ""100"": 213, ""011"": 239, ""101"": 133, ""111"": 63, ""000"": 22, ""110"": 54, ""001"": 30}","{""100"": 205, ""101"": 152, ""010"": 200, ""011"": 273, ""110"": 62, ""111"": 108}"
1989,"{""00000"": 820, ""00001"": 18, ""01000"": 37, ""00100"": 15, ""10010"": 3, ""00101"": 7, ""10000"": 18, ""01100"": 4, ""00011"": 14, ""10100"": 7, ""00111"": 8, ""11000"": 6, ""10101"": 2, ""01111"": 3, ""11111"": 1, ""11010"": 1, ""01110"": 2, ""01101"": 3, ""10111"": 6, ""10011"": 2, ""01011"": 7, ""00010"": 3, ""10110"": 2, ""11001"": 1, ""01001"": 2, ""00110"": 2, ""11011"": 4, ""10001"": 1, ""11110"": 1}","{""00000"": 1000}"
2385,"{""11111"": 76, ""00010"": 148, ""00110"": 161, ""10110"": 111, ""10111"": 97, ""01110"": 113, ""00111"": 66, ""00100"": 5, ""01111"": 46, ""11110"": 60, ""10010"": 25, ""00001"": 6, ""10100"": 8, ""11100"": 5, ""00011"": 24, ""01100"": 8, ""01000"": 3, ""10001"": 2, ""00101"": 4, ""10000"": 7, ""00000"": 10, ""01011"": 1, ""01001"": 1, ""10011"": 5, ""01101"": 2, ""10101"": 2, ""11010"": 1, ""11000"": 1, ""01010"": 2}","{""00110"": 158, ""11110"": 78, ""10110"": 70, ""11111"": 147, ""00111"": 49, ""00011"": 7, ""00010"": 123, ""01110"": 173, ""01111"": 52, ""10111"": 134, ""10011"": 5, ""10010"": 4}"
2607,"{""00110"": 299, ""01100"": 75, ""11000"": 2, ""00000"": 164, ""01010"": 165, ""00100"": 17, ""00010"": 91, ""01110"": 39, ""01000"": 17, ""11001"": 2, ""11101"": 5, ""00111"": 9, ""10110"": 11, ""10001"": 3, ""01101"": 5, ""00001"": 15, ""10101"": 3, ""10100"": 5, ""10011"": 6, ""01011"": 3, ""11110"": 7, ""10000"": 10, ""10010"": 9, ""11111"": 2, ""00101"": 3, ""10111"": 11, ""11011"": 6, ""01111"": 5, ""11100"": 4, ""11010"": 4, ""00011"": 3}","{""01100"": 105, ""00110"": 377, ""01010"": 202, ""00010"": 94, ""01000"": 1, ""00000"": 164, ""01110"": 55, ""00100"": 2}"
1236,"{""10100"": 198, ""10001"": 144, ""10101"": 120, ""10000"": 185, ""11000"": 22, ""10011"": 45, ""10110"": 88, ""11010"": 12, ""11001"": 23, ""10010"": 69, ""00000"": 2, ""11110"": 11, ""11111"": 4, ""11100"": 21, ""11011"": 7, ""11101"": 12, ""10111"": 35, ""00101"": 1, ""00011"": 1}","{""11101"": 12, ""10100"": 245, ""10001"": 86, ""11001"": 17, ""10010"": 86, ""11000"": 36, ""10000"": 215, ""10110"": 87, ""10101"": 81, ""10011"": 43, ""11110"": 12, ""10111"": 27, ""11100"": 34, ""11011"": 3, ""11111"": 7, ""11010"": 9}"
793,"{""00010"": 403, ""00000"": 456, ""01010"": 8, ""10000"": 29, ""00110"": 15, ""10100"": 8, ""00100"": 25, ""11110"": 7, ""01000"": 10, ""10110"": 5, ""01100"": 5, ""11100"": 3, ""10010"": 12, ""10011"": 1, ""00011"": 2, ""11010"": 2, ""01110"": 4, ""00001"": 2, ""10101"": 1, ""11000"": 2}","{""00000"": 530, ""00010"": 470}"
1320,"{""111"": 578, ""011"": 69, ""001"": 131, ""000"": 5, ""101"": 208, ""010"": 1, ""100"": 1, ""110"": 7}","{""111"": 648, ""001"": 88, ""011"": 30, ""101"": 233, ""100"": 1}"
169,"{""00000"": 926, ""00100"": 16, ""10000"": 11, ""11010"": 3, ""00010"": 9, ""10110"": 4, ""01000"": 10, ""01100"": 4, ""11000"": 3, ""10010"": 5, ""11110"": 1, ""11100"": 2, ""00110"": 3, ""10100"": 3}","{""00000"": 1000}"
3416,"{""11"": 613, ""00"": 361, ""01"": 14, ""10"": 12}","{""11"": 576, ""00"": 424}"
1776,"{""0000"": 864, ""1000"": 18, ""0010"": 30, ""0110"": 2, ""1100"": 2, ""1010"": 18, ""0100"": 19, ""0011"": 6, ""1001"": 3, ""0001"": 17, ""0101"": 7, ""1101"": 4, ""1011"": 8, ""0111"": 1, ""1110"": 1}","{""0000"": 1000}"
