circuit_index,noisy_counts,ideal_counts
3646,"{""00000"": 16, ""11010"": 62, ""01000"": 138, ""10010"": 2, ""01001"": 16, ""01010"": 94, ""11110"": 70, ""11100"": 80, ""01100"": 138, ""01111"": 7, ""11000"": 72, ""01101"": 18, ""01110"": 89, ""00011"": 14, ""00001"": 9, ""00100"": 22, ""00111"": 19, ""11011"": 9, ""10110"": 10, ""00110"": 10, ""10100"": 11, ""01011"": 9, ""10011"": 11, ""00101"": 13, ""11101"": 8, ""10001"": 10, ""11111"": 12, ""10101"": 8, ""10111"": 3, ""11001"": 9, ""10000"": 6, ""00010"": 5}","{""01100"": 186, ""01101"": 11, ""11110"": 89, ""11000"": 83, ""01010"": 110, ""01110"": 105, ""11010"": 70, ""01000"": 148, ""00101"": 10, ""00001"": 9, ""11100"": 81, ""10011"": 8, ""10001"": 8, ""01111"": 8, ""00011"": 13, ""00110"": 5, ""00111"": 7, ""11011"": 6, ""10110"": 8, ""11111"": 10, ""10101"": 5, ""11001"": 4, ""01001"": 8, ""11101"": 2, ""01011"": 6}"
3648,"{""10"": 277, ""00"": 525, ""11"": 130, ""01"": 68}","{""10"": 291, ""01"": 51, ""00"": 543, ""11"": 115}"
3649,"{""000"": 149, ""111"": 257, ""101"": 319, ""011"": 28, ""100"": 31, ""110"": 29, ""001"": 29, ""010"": 158}","{""101"": 319, ""010"": 172, ""000"": 188, ""111"": 321}"
3650,"{""0100"": 223, ""1110"": 43, ""0000"": 151, ""0010"": 182, ""0110"": 83, ""1111"": 19, ""1010"": 39, ""0111"": 40, ""0001"": 22, ""0011"": 49, ""1001"": 51, ""1011"": 21, ""1000"": 20, ""0101"": 16, ""1101"": 33, ""1100"": 8}","{""0010"": 181, ""0100"": 253, ""1001"": 45, ""1010"": 30, ""0111"": 48, ""0000"": 148, ""1100"": 1, ""0011"": 65, ""0110"": 102, ""0001"": 22, ""1111"": 17, ""1110"": 44, ""1011"": 12, ""1101"": 24, ""0101"": 6, ""1000"": 2}"
3655,"{""10"": 424, ""00"": 72, ""11"": 424, ""01"": 80}","{""11"": 447, ""10"": 447, ""00"": 61, ""01"": 45}"
3656,"{""0011"": 143, ""0000"": 144, ""0110"": 24, ""0001"": 111, ""1010"": 99, ""1001"": 49, ""1110"": 42, ""1011"": 73, ""1000"": 55, ""0010"": 172, ""1100"": 18, ""0111"": 15, ""1101"": 9, ""0100"": 18, ""0101"": 17, ""1111"": 11}","{""0010"": 200, ""1011"": 73, ""0100"": 14, ""1010"": 95, ""1001"": 48, ""0001"": 156, ""0011"": 149, ""0000"": 153, ""1000"": 53, ""1100"": 10, ""0111"": 1, ""1110"": 36, ""0110"": 4, ""1111"": 3, ""0101"": 3, ""1101"": 2}"
3659,"{""01"": 227, ""00"": 572, ""10"": 146, ""11"": 55}","{""00"": 552, ""01"": 227, ""10"": 171, ""11"": 50}"
3661,"{""10101"": 14, ""00100"": 15, ""10000"": 90, ""00000"": 11, ""01000"": 1, ""10001"": 669, ""01011"": 6, ""10100"": 24, ""10011"": 28, ""10010"": 13, ""00001"": 59, ""00011"": 12, ""11001"": 9, ""11011"": 14, ""00101"": 6, ""11110"": 5, ""01001"": 5, ""00110"": 3, ""11101"": 2, ""00010"": 2, ""01111"": 1, ""00111"": 1, ""11000"": 3, ""01100"": 4, ""11111"": 1, ""11100"": 2}","{""10001"": 920, ""10000"": 80}"
3662,"{""00100"": 83, ""10101"": 26, ""11100"": 102, ""01111"": 9, ""10111"": 22, ""01100"": 78, ""01110"": 94, ""11000"": 14, ""10100"": 89, ""01000"": 9, ""00110"": 89, ""01011"": 15, ""10110"": 77, ""11011"": 25, ""11110"": 74, ""11010"": 10, ""00111"": 28, ""01101"": 11, ""10000"": 13, ""11101"": 21, ""01010"": 15, ""00001"": 6, ""00101"": 23, ""10010"": 13, ""00011"": 7, ""00000"": 16, ""00010"": 9, ""01001"": 7, ""11001"": 3, ""10011"": 6, ""11111"": 4, ""10001"": 2}","{""00110"": 121, ""01110"": 132, ""10100"": 101, ""00111"": 23, ""10110"": 107, ""00100"": 99, ""10101"": 19, ""11100"": 117, ""11110"": 110, ""01011"": 10, ""01101"": 20, ""11101"": 18, ""01100"": 75, ""11011"": 20, ""00101"": 20, ""10111"": 6, ""10010"": 1, ""00010"": 1}"
3663,"{""10"": 412, ""01"": 275, ""00"": 243, ""11"": 70}","{""00"": 229, ""10"": 382, ""01"": 327, ""11"": 62}"
3665,"{""000"": 431, ""001"": 378, ""010"": 29, ""100"": 32, ""011"": 37, ""111"": 36, ""101"": 31, ""110"": 26}","{""000"": 504, ""001"": 496}"
3667,"{""0001"": 334, ""0101"": 54, ""1100"": 7, ""0011"": 330, ""0111"": 46, ""0010"": 47, ""1011"": 29, ""0000"": 30, ""1001"": 29, ""1111"": 21, ""1010"": 17, ""1101"": 8, ""0110"": 21, ""0100"": 17, ""1000"": 8, ""1110"": 2}","{""0011"": 541, ""0001"": 459}"
3668,"{""0011"": 226, ""1011"": 29, ""0010"": 205, ""1010"": 24, ""0001"": 182, ""1101"": 4, ""1000"": 41, ""0000"": 210, ""1100"": 4, ""0101"": 11, ""1111"": 9, ""1110"": 3, ""1001"": 29, ""0100"": 9, ""0110"": 9, ""0111"": 5}","{""0010"": 204, ""1011"": 19, ""0011"": 235, ""1000"": 17, ""0000"": 233, ""1010"": 15, ""1001"": 23, ""0001"": 253, ""0101"": 1}"
3670,"{""1101"": 81, ""1010"": 21, ""0001"": 208, ""1001"": 245, ""1000"": 107, ""0000"": 78, ""0111"": 66, ""1100"": 40, ""0101"": 24, ""0010"": 18, ""1111"": 20, ""0110"": 39, ""1110"": 4, ""1011"": 26, ""0011"": 14, ""0100"": 9}","{""1010"": 4, ""0001"": 239, ""1001"": 297, ""0000"": 88, ""1000"": 106, ""0111"": 89, ""1101"": 92, ""0110"": 39, ""1100"": 27, ""1111"": 7, ""0101"": 6, ""0010"": 6}"
3671,"{""111"": 49, ""011"": 170, ""000"": 243, ""110"": 389, ""001"": 13, ""101"": 91, ""010"": 23, ""100"": 22}","{""110"": 439, ""011"": 194, ""000"": 234, ""111"": 28, ""101"": 94, ""010"": 11}"
3672,"{""00010"": 322, ""11110"": 36, ""10110"": 21, ""10010"": 174, ""01110"": 69, ""01000"": 52, ""11010"": 12, ""00000"": 32, ""11100"": 8, ""01101"": 2, ""00110"": 30, ""11000"": 23, ""01011"": 7, ""10011"": 28, ""00100"": 17, ""00001"": 5, ""11111"": 8, ""01111"": 11, ""00011"": 22, ""10000"": 16, ""01010"": 28, ""10100"": 8, ""00101"": 4, ""01001"": 7, ""10001"": 9, ""11101"": 3, ""11001"": 8, ""00111"": 13, ""01100"": 8, ""11011"": 7, ""10111"": 6, ""10101"": 4}","{""10011"": 13, ""00010"": 541, ""00011"": 4, ""10010"": 241, ""11110"": 48, ""01110"": 128, ""01000"": 15, ""11000"": 7, ""00100"": 2, ""01111"": 1}"
3675,"{""0001"": 62, ""1010"": 23, ""1001"": 24, ""0100"": 85, ""0010"": 60, ""1000"": 75, ""0000"": 538, ""0011"": 25, ""0111"": 6, ""0101"": 23, ""1100"": 30, ""0110"": 27, ""1111"": 6, ""1110"": 9, ""1101"": 6, ""1011"": 1}","{""0000"": 1000}"
3677,"{""001"": 178, ""111"": 55, ""100"": 204, ""000"": 174, ""010"": 89, ""101"": 81, ""110"": 48, ""011"": 171}","{""111"": 61, ""001"": 181, ""011"": 209, ""110"": 42, ""100"": 213, ""000"": 157, ""010"": 68, ""101"": 69}"
3678,"{""011"": 305, ""010"": 290, ""100"": 254, ""000"": 29, ""111"": 32, ""110"": 30, ""001"": 23, ""101"": 37}","{""100"": 260, ""011"": 371, ""010"": 369}"
3680,"{""1000"": 59, ""0000"": 115, ""0001"": 347, ""1001"": 184, ""0100"": 7, ""1011"": 40, ""0111"": 19, ""0011"": 114, ""1100"": 11, ""0010"": 33, ""0101"": 8, ""1111"": 8, ""1010"": 20, ""1110"": 11, ""0110"": 18, ""1101"": 6}","{""0000"": 125, ""1000"": 63, ""1010"": 5, ""1001"": 228, ""0001"": 446, ""0011"": 97, ""0010"": 23, ""1011"": 13}"
3685,"{""0000"": 229, ""1000"": 206, ""0011"": 95, ""1010"": 118, ""1011"": 99, ""0010"": 92, ""0101"": 10, ""1110"": 15, ""0110"": 14, ""1100"": 20, ""1111"": 11, ""0100"": 18, ""0001"": 33, ""1001"": 21, ""0111"": 14, ""1101"": 5}","{""1011"": 123, ""0010"": 100, ""1000"": 284, ""0000"": 266, ""0011"": 120, ""1010"": 107}"
3686,"{""10"": 237, ""11"": 140, ""01"": 282, ""00"": 341}","{""00"": 335, ""10"": 237, ""11"": 146, ""01"": 282}"
