circuit_index,noisy_counts,ideal_counts
3063,"{""001"": 363, ""011"": 196, ""111"": 150, ""010"": 32, ""101"": 162, ""110"": 33, ""100"": 22, ""000"": 42}","{""101"": 173, ""111"": 146, ""011"": 261, ""001"": 303, ""100"": 24, ""010"": 37, ""000"": 37, ""110"": 19}"
3500,"{""1110"": 414, ""1000"": 267, ""0000"": 33, ""0110"": 62, ""1010"": 57, ""1111"": 23, ""1100"": 53, ""0111"": 16, ""0101"": 4, ""0010"": 15, ""1001"": 14, ""0011"": 6, ""0100"": 17, ""1011"": 9, ""1101"": 6, ""0001"": 4}","{""0000"": 5, ""1000"": 365, ""1110"": 622, ""0110"": 8}"
1499,"{""10000"": 629, ""00011"": 5, ""10010"": 29, ""10100"": 137, ""10001"": 16, ""00100"": 13, ""00000"": 77, ""00010"": 8, ""00101"": 7, ""00001"": 6, ""10111"": 5, ""01000"": 5, ""01110"": 2, ""10101"": 9, ""11000"": 14, ""01100"": 1, ""11111"": 2, ""11001"": 2, ""10110"": 10, ""11101"": 3, ""11100"": 6, ""00110"": 2, ""10011"": 5, ""11011"": 1, ""01001"": 2, ""11010"": 2, ""11110"": 1, ""01010"": 1}","{""10000"": 848, ""10100"": 147, ""00000"": 4, ""00100"": 1}"
716,"{""00000"": 465, ""10000"": 18, ""00100"": 382, ""01100"": 49, ""00010"": 9, ""11100"": 4, ""10100"": 23, ""01000"": 31, ""10010"": 1, ""01010"": 1, ""00110"": 7, ""11010"": 1, ""11000"": 2, ""01110"": 3, ""00101"": 3, ""00001"": 1}","{""00100"": 489, ""00000"": 511}"
535,"{""001"": 917, ""011"": 9, ""000"": 52, ""010"": 5, ""110"": 3, ""111"": 4, ""100"": 2, ""101"": 8}","{""001"": 964, ""000"": 36}"
3773,"{""10"": 99, ""11"": 575, ""01"": 90, ""00"": 236}","{""00"": 218, ""01"": 91, ""11"": 637, ""10"": 54}"
3980,"{""10101"": 187, ""01001"": 18, ""10010"": 65, ""10011"": 129, ""00101"": 20, ""11010"": 12, ""11111"": 14, ""00110"": 11, ""10111"": 117, ""10100"": 19, ""10000"": 20, ""10001"": 75, ""00010"": 21, ""11001"": 13, ""01110"": 11, ""01100"": 16, ""01011"": 48, ""10110"": 9, ""01010"": 34, ""11011"": 19, ""00001"": 19, ""00011"": 24, ""11101"": 15, ""01101"": 24, ""00111"": 16, ""00100"": 13, ""01111"": 11, ""01000"": 7, ""11000"": 2, ""00000"": 7, ""11100"": 4}","{""01011"": 45, ""00010"": 4, ""10011"": 209, ""10101"": 346, ""10100"": 45, ""00101"": 38, ""10001"": 27, ""10010"": 95, ""10111"": 53, ""11010"": 5, ""00111"": 6, ""01101"": 2, ""11101"": 24, ""00011"": 16, ""11011"": 16, ""01010"": 16, ""11111"": 6, ""11001"": 4, ""10110"": 14, ""11100"": 5, ""10000"": 6, ""00100"": 11, ""11110"": 2, ""00001"": 5}"
2433,"{""001"": 255, ""000"": 293, ""100"": 111, ""111"": 127, ""110"": 100, ""101"": 97, ""010"": 10, ""011"": 7}","{""001"": 307, ""100"": 68, ""101"": 69, ""000"": 314, ""111"": 121, ""110"": 121}"
3673,"{""01"": 365, ""11"": 182, ""00"": 434, ""10"": 19}","{""11"": 160, ""00"": 492, ""01"": 337, ""10"": 11}"
1444,"{""000"": 708, ""001"": 16, ""011"": 263, ""010"": 12, ""101"": 1}","{""000"": 764, ""011"": 236}"
3768,"{""101"": 604, ""100"": 68, ""001"": 124, ""111"": 127, ""000"": 15, ""011"": 44, ""110"": 11, ""010"": 7}","{""101"": 654, ""001"": 107, ""111"": 134, ""110"": 6, ""100"": 59, ""011"": 33, ""000"": 6, ""010"": 1}"
3705,"{""00"": 588, ""10"": 351, ""11"": 9, ""01"": 52}","{""10"": 347, ""00"": 592, ""01"": 56, ""11"": 5}"
3794,"{""0010"": 181, ""1110"": 218, ""0011"": 10, ""0110"": 404, ""1010"": 8, ""0111"": 32, ""1101"": 7, ""0000"": 35, ""0101"": 10, ""0100"": 32, ""1001"": 2, ""1100"": 18, ""0001"": 6, ""1000"": 15, ""1011"": 3, ""1111"": 19}","{""0010"": 182, ""0000"": 19, ""1000"": 17, ""0110"": 482, ""0100"": 14, ""1110"": 286}"
2707,"{""11"": 703, ""00"": 159, ""01"": 118, ""10"": 20}","{""01"": 100, ""11"": 720, ""00"": 177, ""10"": 3}"
3210,"{""0001"": 192, ""0100"": 228, ""0101"": 202, ""0000"": 235, ""0010"": 26, ""1000"": 9, ""0110"": 18, ""0111"": 21, ""0011"": 22, ""1101"": 7, ""1001"": 8, ""1111"": 8, ""1100"": 7, ""1110"": 7, ""1010"": 5, ""1011"": 5}","{""0001"": 242, ""0000"": 279, ""0101"": 245, ""0100"": 234}"
544,"{""110"": 396, ""100"": 350, ""000"": 114, ""010"": 114, ""011"": 9, ""001"": 8, ""101"": 3, ""111"": 6}","{""100"": 395, ""000"": 103, ""110"": 403, ""010"": 99}"
3854,"{""0011"": 52, ""1010"": 229, ""1000"": 34, ""0010"": 501, ""1011"": 14, ""0100"": 5, ""1111"": 13, ""1110"": 24, ""1001"": 4, ""0111"": 10, ""0000"": 50, ""0110"": 25, ""1101"": 17, ""0001"": 13, ""1100"": 7, ""0101"": 2}","{""1010"": 500, ""0010"": 500}"
2455,"{""11"": 364, ""00"": 503, ""01"": 120, ""10"": 13}","{""11"": 401, ""00"": 477, ""01"": 118, ""10"": 4}"
3400,"{""11"": 368, ""10"": 400, ""00"": 123, ""01"": 109}","{""01"": 104, ""10"": 380, ""11"": 417, ""00"": 99}"
753,"{""0000"": 832, ""1000"": 79, ""0001"": 35, ""0110"": 4, ""0010"": 6, ""0100"": 10, ""1110"": 7, ""0101"": 5, ""1100"": 7, ""0111"": 2, ""1111"": 3, ""1001"": 8, ""1011"": 1, ""1010"": 1}","{""0000"": 1000}"
3539,"{""110"": 122, ""111"": 93, ""000"": 146, ""001"": 123, ""100"": 145, ""010"": 130, ""011"": 138, ""101"": 103}","{""011"": 94, ""100"": 136, ""000"": 122, ""101"": 146, ""111"": 125, ""010"": 126, ""001"": 138, ""110"": 113}"
2609,"{""11"": 493, ""00"": 483, ""01"": 15, ""10"": 9}","{""11"": 485, ""00"": 515}"
3642,"{""000"": 285, ""110"": 104, ""011"": 181, ""001"": 204, ""100"": 30, ""010"": 109, ""101"": 13, ""111"": 74}","{""000"": 232, ""111"": 142, ""010"": 120, ""001"": 255, ""110"": 99, ""011"": 152}"
1864,"{""0100"": 347, ""0110"": 152, ""0000"": 236, ""1010"": 17, ""0010"": 109, ""1110"": 16, ""1101"": 23, ""1001"": 9, ""1100"": 35, ""1000"": 33, ""1111"": 7, ""0101"": 5, ""1011"": 6, ""0001"": 2, ""0011"": 2, ""0111"": 1}","{""1100"": 37, ""0100"": 392, ""1110"": 19, ""0000"": 236, ""0110"": 163, ""1011"": 3, ""0010"": 102, ""1010"": 15, ""1000"": 26, ""1101"": 6, ""0101"": 1}"
2660,"{""1011"": 83, ""1001"": 232, ""0001"": 143, ""0011"": 96, ""0100"": 13, ""1010"": 25, ""1000"": 129, ""0000"": 82, ""1101"": 6, ""1100"": 30, ""0111"": 24, ""0010"": 18, ""0101"": 13, ""1111"": 64, ""1110"": 25, ""0110"": 17}","{""0000"": 87, ""1000"": 132, ""0001"": 176, ""1001"": 214, ""1111"": 76, ""0011"": 136, ""0100"": 8, ""1011"": 126, ""1110"": 9, ""1100"": 20, ""0111"": 12, ""0110"": 4}"
3330,"{""111"": 846, ""011"": 39, ""110"": 56, ""000"": 15, ""101"": 16, ""001"": 13, ""010"": 6, ""100"": 9}","{""111"": 962, ""110"": 30, ""010"": 7, ""011"": 1}"
208,"{""000"": 919, ""111"": 17, ""001"": 17, ""010"": 8, ""100"": 15, ""110"": 5, ""011"": 6, ""101"": 13}","{""000"": 1000}"
750,"{""11"": 866, ""01"": 117, ""00"": 5, ""10"": 12}","{""01"": 142, ""11"": 858}"
2067,"{""0000"": 899, ""0100"": 15, ""1000"": 20, ""0010"": 18, ""1001"": 12, ""1100"": 2, ""0011"": 6, ""0001"": 5, ""1010"": 3, ""1011"": 4, ""0110"": 4, ""0101"": 3, ""1101"": 4, ""1111"": 4, ""0111"": 1}","{""0000"": 1000}"
