circuit_index,noisy_counts,ideal_counts
3898,"{""00"": 392, ""01"": 89, ""10"": 422, ""11"": 97}","{""10"": 402, ""00"": 427, ""01"": 79, ""11"": 92}"
442,"{""100"": 342, ""000"": 598, ""101"": 8, ""010"": 19, ""111"": 3, ""001"": 13, ""011"": 3, ""110"": 14}","{""000"": 516, ""100"": 484}"
1123,"{""000"": 926, ""010"": 18, ""100"": 12, ""011"": 16, ""001"": 16, ""111"": 3, ""101"": 8, ""110"": 1}","{""000"": 1000}"
1967,"{""10"": 554, ""00"": 132, ""01"": 134, ""11"": 180}","{""01"": 153, ""10"": 535, ""11"": 174, ""00"": 138}"
522,"{""000"": 913, ""011"": 24, ""010"": 16, ""100"": 25, ""001"": 16, ""101"": 1, ""110"": 3, ""111"": 2}","{""000"": 1000}"
3611,"{""010"": 420, ""110"": 402, ""011"": 66, ""100"": 44, ""001"": 5, ""000"": 32, ""111"": 27, ""101"": 4}","{""110"": 394, ""010"": 435, ""011"": 62, ""000"": 32, ""111"": 19, ""101"": 3, ""100"": 55}"
342,"{""11100"": 9, ""01111"": 105, ""01110"": 162, ""01000"": 3, ""11110"": 18, ""01100"": 121, ""00100"": 81, ""01101"": 157, ""10111"": 9, ""00101"": 73, ""00111"": 95, ""00110"": 85, ""01011"": 4, ""11010"": 5, ""01001"": 10, ""11101"": 10, ""11111"": 8, ""10100"": 10, ""00011"": 5, ""10101"": 5, ""01010"": 8, ""00010"": 1, ""10010"": 5, ""10110"": 6, ""11011"": 3, ""10011"": 1, ""11000"": 1}","{""00110"": 79, ""01111"": 152, ""01110"": 166, ""00101"": 78, ""01101"": 156, ""00100"": 67, ""01100"": 157, ""11100"": 13, ""00011"": 1, ""11111"": 7, ""00111"": 70, ""10110"": 7, ""11110"": 10, ""01000"": 2, ""10100"": 3, ""10101"": 1, ""01001"": 4, ""01010"": 2, ""11101"": 12, ""10111"": 3, ""00000"": 3, ""01011"": 4, ""00001"": 2, ""10011"": 1}"
563,"{""000"": 254, ""001"": 221, ""110"": 216, ""010"": 275, ""011"": 5, ""100"": 13, ""101"": 7, ""111"": 9}","{""000"": 272, ""110"": 239, ""001"": 234, ""010"": 255}"
1576,"{""11010"": 139, ""10010"": 160, ""01000"": 31, ""11111"": 4, ""00010"": 194, ""01100"": 6, ""00011"": 17, ""10101"": 1, ""11000"": 34, ""01010"": 116, ""01110"": 10, ""10000"": 58, ""01101"": 7, ""10011"": 23, ""01001"": 13, ""10110"": 21, ""01011"": 7, ""11100"": 8, ""00110"": 10, ""10111"": 5, ""00000"": 52, ""00101"": 7, ""00001"": 7, ""00100"": 10, ""11110"": 14, ""10100"": 9, ""11001"": 6, ""01111"": 4, ""00111"": 5, ""10001"": 6, ""11011"": 11, ""11101"": 5}","{""11000"": 74, ""10000"": 56, ""01010"": 182, ""00010"": 174, ""10010"": 191, ""11010"": 192, ""01000"": 70, ""00000"": 61}"
511,"{""1000"": 786, ""1010"": 99, ""1100"": 37, ""1111"": 13, ""1101"": 6, ""0010"": 9, ""0000"": 8, ""1011"": 14, ""1110"": 7, ""0111"": 2, ""0001"": 2, ""1001"": 6, ""0100"": 5, ""0101"": 3, ""0011"": 2, ""0110"": 1}","{""1000"": 1000}"
