circuit_index,noisy_counts,ideal_counts
12,"{""010"": 284, ""011"": 689, ""000"": 9, ""110"": 1, ""001"": 11, ""111"": 6}","{""011"": 701, ""010"": 292, ""001"": 4, ""000"": 3}"
13,"{""000"": 895, ""101"": 5, ""001"": 28, ""010"": 24, ""111"": 19, ""100"": 15, ""011"": 12, ""110"": 2}","{""000"": 1000}"
18,"{""00010"": 13, ""01000"": 29, ""00000"": 863, ""01001"": 1, ""10000"": 17, ""00001"": 42, ""00101"": 10, ""00100"": 11, ""01010"": 1, ""10010"": 2, ""10001"": 2, ""10110"": 1, ""00011"": 2, ""10101"": 4, ""11101"": 1, ""11010"": 1}","{""00000"": 1000}"
21,"{""000"": 176, ""111"": 27, ""001"": 104, ""101"": 434, ""100"": 231, ""010"": 12, ""110"": 12, ""011"": 4}","{""101"": 473, ""100"": 226, ""000"": 146, ""001"": 108, ""111"": 26, ""110"": 9, ""010"": 9, ""011"": 3}"
23,"{""1000"": 24, ""0000"": 896, ""1001"": 4, ""0001"": 33, ""1010"": 10, ""0010"": 16, ""0100"": 11, ""1100"": 2, ""1011"": 1, ""0011"": 1, ""1110"": 2}","{""0000"": 1000}"
31,"{""00"": 918, ""01"": 78, ""10"": 4}","{""01"": 65, ""00"": 935}"
38,"{""00100"": 753, ""11011"": 4, ""00000"": 16, ""00101"": 14, ""10100"": 88, ""10011"": 17, ""00110"": 27, ""00001"": 5, ""11100"": 21, ""00010"": 2, ""01100"": 19, ""01011"": 2, ""00011"": 14, ""10110"": 4, ""00111"": 2, ""10111"": 1, ""10101"": 2, ""11010"": 1, ""11101"": 3, ""11001"": 1, ""11110"": 1, ""11111"": 1, ""10000"": 2}","{""00100"": 1000}"
39,"{""00"": 393, ""11"": 337, ""10"": 142, ""01"": 128}","{""00"": 382, ""01"": 140, ""11"": 344, ""10"": 134}"
43,"{""10"": 488, ""00"": 503, ""11"": 5, ""01"": 4}","{""00"": 498, ""10"": 502}"
44,"{""11"": 961, ""10"": 19, ""00"": 12, ""01"": 8}","{""11"": 988, ""00"": 12}"
45,"{""000"": 605, ""100"": 320, ""010"": 41, ""110"": 20, ""001"": 9, ""101"": 4, ""011"": 1}","{""000"": 689, ""100"": 311}"
49,"{""11"": 194, ""00"": 293, ""10"": 307, ""01"": 206}","{""11"": 198, ""01"": 212, ""10"": 298, ""00"": 292}"
53,"{""0111"": 264, ""0110"": 241, ""1011"": 44, ""0010"": 130, ""1110"": 49, ""0011"": 148, ""1010"": 37, ""1000"": 3, ""1111"": 48, ""0001"": 4, ""0000"": 8, ""0101"": 12, ""1001"": 1, ""1101"": 2, ""0100"": 7, ""1100"": 2}","{""0111"": 287, ""1111"": 58, ""0110"": 262, ""0101"": 6, ""1110"": 48, ""0011"": 134, ""0010"": 139, ""0000"": 4, ""1011"": 24, ""1010"": 28, ""0100"": 5, ""1000"": 1, ""0001"": 2, ""1101"": 1, ""1100"": 1}"
60,"{""101"": 207, ""000"": 755, ""100"": 5, ""001"": 20, ""010"": 8, ""111"": 1, ""011"": 4}","{""000"": 790, ""101"": 210}"
62,"{""001"": 178, ""000"": 802, ""011"": 1, ""010"": 5, ""100"": 10, ""101"": 4}","{""000"": 800, ""001"": 200}"
69,"{""000"": 660, ""010"": 329, ""001"": 6, ""011"": 2, ""100"": 2, ""110"": 1}","{""000"": 663, ""010"": 337}"
71,"{""1000"": 8, ""0000"": 652, ""1001"": 1, ""0001"": 287, ""0100"": 28, ""0101"": 10, ""0010"": 8, ""0110"": 1, ""0011"": 5}","{""0000"": 707, ""0001"": 293}"
74,"{""01"": 676, ""11"": 125, ""00"": 167, ""10"": 32}","{""01"": 695, ""00"": 167, ""10"": 27, ""11"": 111}"
78,"{""01000"": 8, ""00000"": 655, ""00001"": 15, ""10000"": 25, ""00100"": 252, ""00010"": 12, ""00101"": 5, ""10010"": 7, ""01011"": 1, ""10101"": 1, ""01010"": 5, ""01100"": 4, ""10100"": 5, ""00011"": 2, ""00110"": 2, ""00111"": 1}","{""00000"": 731, ""00100"": 269}"
81,"{""010"": 921, ""011"": 7, ""110"": 17, ""000"": 44, ""100"": 6, ""111"": 4, ""001"": 1}","{""010"": 1000}"
84,"{""000"": 823, ""100"": 145, ""001"": 13, ""101"": 6, ""110"": 6, ""010"": 7}","{""000"": 876, ""100"": 124}"
85,"{""1000"": 9, ""0000"": 937, ""0001"": 26, ""0110"": 3, ""0010"": 8, ""0101"": 3, ""0100"": 14}","{""0000"": 1000}"
93,"{""01"": 224, ""11"": 439, ""00"": 102, ""10"": 235}","{""10"": 255, ""00"": 106, ""11"": 416, ""01"": 223}"
94,"{""01"": 499, ""00"": 490, ""11"": 6, ""10"": 5}","{""01"": 465, ""00"": 535}"
108,"{""1001"": 11, ""0001"": 948, ""0011"": 11, ""0000"": 8, ""1000"": 16, ""0101"": 5, ""0010"": 1}","{""0001"": 965, ""1000"": 35}"
110,"{""000"": 933, ""011"": 2, ""100"": 18, ""010"": 30, ""101"": 4, ""001"": 10, ""111"": 2, ""110"": 1}","{""000"": 1000}"
112,"{""00"": 982, ""01"": 10, ""10"": 5, ""11"": 3}","{""00"": 1000}"
120,"{""110"": 796, ""111"": 89, ""101"": 10, ""010"": 48, ""001"": 25, ""011"": 9, ""000"": 7, ""100"": 16}","{""110"": 894, ""111"": 76, ""001"": 25, ""011"": 5}"
121,"{""00"": 471, ""01"": 510, ""10"": 12, ""11"": 7}","{""01"": 510, ""00"": 490}"
