circuit_index,noisy_counts,ideal_counts
3898,"{""10"": 400, ""00"": 395, ""11"": 103, ""01"": 102}","{""11"": 99, ""10"": 383, ""00"": 440, ""01"": 78}"
442,"{""000"": 571, ""100"": 380, ""110"": 13, ""111"": 3, ""001"": 11, ""010"": 8, ""101"": 11, ""011"": 3}","{""000"": 542, ""100"": 458}"
1123,"{""000"": 925, ""001"": 17, ""100"": 11, ""101"": 9, ""011"": 15, ""111"": 3, ""010"": 19, ""110"": 1}","{""000"": 1000}"
1967,"{""00"": 145, ""10"": 537, ""11"": 182, ""01"": 136}","{""10"": 544, ""01"": 137, ""00"": 159, ""11"": 160}"
522,"{""000"": 927, ""001"": 25, ""011"": 7, ""010"": 13, ""100"": 19, ""101"": 4, ""110"": 3, ""111"": 2}","{""000"": 1000}"
3611,"{""010"": 372, ""110"": 472, ""100"": 33, ""000"": 28, ""101"": 3, ""111"": 18, ""011"": 67, ""001"": 7}","{""110"": 442, ""011"": 51, ""010"": 397, ""000"": 28, ""100"": 62, ""111"": 19, ""001"": 1}"
342,"{""01101"": 144, ""01111"": 136, ""01110"": 167, ""11111"": 10, ""01100"": 98, ""11101"": 15, ""00100"": 83, ""10100"": 6, ""00110"": 77, ""00101"": 72, ""00111"": 108, ""01011"": 4, ""10111"": 8, ""11100"": 9, ""10101"": 8, ""11110"": 14, ""11011"": 1, ""00010"": 4, ""10010"": 4, ""01001"": 7, ""10011"": 1, ""10000"": 2, ""00011"": 2, ""11001"": 2, ""01000"": 3, ""00000"": 3, ""01010"": 5, ""00001"": 3, ""10110"": 4}","{""01110"": 122, ""00101"": 91, ""01100"": 169, ""01111"": 159, ""00110"": 61, ""00111"": 80, ""00100"": 79, ""01101"": 132, ""11101"": 14, ""11110"": 8, ""01011"": 4, ""10100"": 8, ""11111"": 10, ""00010"": 5, ""10101"": 10, ""11100"": 9, ""10111"": 11, ""01001"": 7, ""00011"": 1, ""10110"": 9, ""01010"": 2, ""00001"": 3, ""01000"": 4, ""11011"": 2}"
563,"{""001"": 273, ""000"": 247, ""110"": 231, ""010"": 208, ""100"": 19, ""101"": 14, ""011"": 7, ""111"": 1}","{""001"": 256, ""010"": 220, ""110"": 267, ""000"": 257}"
1576,"{""01010"": 179, ""11010"": 143, ""00010"": 158, ""01100"": 10, ""10010"": 151, ""11011"": 13, ""11000"": 36, ""00110"": 14, ""11111"": 7, ""10100"": 4, ""01001"": 10, ""01110"": 20, ""00000"": 29, ""11110"": 15, ""10110"": 12, ""10000"": 39, ""01000"": 46, ""00111"": 8, ""11101"": 7, ""00011"": 14, ""11001"": 13, ""00101"": 4, ""10101"": 3, ""01011"": 12, ""10001"": 7, ""01101"": 6, ""00100"": 9, ""10011"": 9, ""01111"": 3, ""00001"": 9, ""10111"": 5, ""11100"": 5}","{""10010"": 157, ""00000"": 82, ""11010"": 192, ""01000"": 62, ""00010"": 187, ""11000"": 70, ""10000"": 60, ""01010"": 190}"
511,"{""1000"": 815, ""0101"": 3, ""0000"": 22, ""1010"": 83, ""1001"": 11, ""1100"": 25, ""0010"": 7, ""0011"": 3, ""1110"": 9, ""1011"": 7, ""1101"": 5, ""0111"": 1, ""1111"": 2, ""0001"": 6, ""0100"": 1}","{""1000"": 1000}"
