circuit_index,noisy_counts,ideal_counts
3063,"{""101"": 170, ""111"": 154, ""011"": 251, ""001"": 300, ""010"": 33, ""000"": 46, ""100"": 37, ""110"": 9}","{""011"": 305, ""001"": 299, ""111"": 139, ""101"": 155, ""100"": 25, ""010"": 25, ""110"": 24, ""000"": 28}"
3500,"{""1110"": 436, ""0110"": 59, ""1000"": 269, ""0000"": 33, ""1010"": 63, ""1100"": 49, ""0100"": 5, ""1001"": 8, ""0011"": 9, ""1101"": 12, ""0111"": 12, ""1111"": 28, ""0001"": 5, ""0010"": 6, ""1011"": 4, ""0101"": 2}","{""1110"": 643, ""0000"": 6, ""1000"": 346, ""0110"": 5}"
1499,"{""00000"": 90, ""10000"": 600, ""10100"": 132, ""01000"": 13, ""01010"": 3, ""11000"": 20, ""10001"": 19, ""00110"": 3, ""11111"": 2, ""00100"": 16, ""01110"": 1, ""00010"": 14, ""10010"": 19, ""10101"": 7, ""00101"": 4, ""11100"": 4, ""10110"": 6, ""11010"": 5, ""11001"": 3, ""01111"": 3, ""10111"": 9, ""00001"": 7, ""11110"": 2, ""10011"": 6, ""01100"": 2, ""00111"": 3, ""00011"": 3, ""11101"": 2, ""01001"": 1, ""01011"": 1}","{""10000"": 827, ""00000"": 9, ""10100"": 164}"
716,"{""00100"": 376, ""00000"": 463, ""10100"": 21, ""00110"": 6, ""10000"": 21, ""01100"": 58, ""01000"": 30, ""00010"": 11, ""01010"": 2, ""01110"": 6, ""00001"": 3, ""11100"": 2, ""00101"": 1}","{""00000"": 491, ""00100"": 509}"
535,"{""001"": 886, ""000"": 68, ""111"": 4, ""101"": 8, ""011"": 12, ""010"": 10, ""110"": 7, ""100"": 5}","{""001"": 971, ""000"": 29}"
3773,"{""10"": 77, ""01"": 114, ""11"": 575, ""00"": 234}","{""11"": 646, ""00"": 198, ""01"": 93, ""10"": 63}"
3980,"{""00111"": 19, ""10101"": 169, ""10110"": 15, ""10111"": 119, ""10100"": 24, ""01011"": 43, ""10001"": 64, ""10000"": 18, ""11010"": 10, ""00101"": 27, ""10011"": 131, ""01111"": 13, ""01001"": 18, ""01101"": 18, ""00011"": 22, ""00000"": 10, ""01010"": 29, ""11011"": 25, ""10010"": 61, ""01100"": 13, ""11110"": 9, ""01110"": 16, ""00100"": 19, ""11101"": 22, ""11001"": 11, ""11111"": 15, ""01000"": 14, ""00001"": 13, ""11100"": 3, ""00010"": 15, ""00110"": 11, ""11000"": 4}","{""00111"": 8, ""11101"": 28, ""00101"": 41, ""10101"": 336, ""00110"": 3, ""01011"": 36, ""10000"": 6, ""10001"": 41, ""11011"": 13, ""10010"": 92, ""00011"": 25, ""10100"": 37, ""10011"": 198, ""11010"": 9, ""10111"": 71, ""01010"": 10, ""11100"": 4, ""10110"": 9, ""00010"": 11, ""11111"": 5, ""00001"": 4, ""01101"": 3, ""00100"": 4, ""11110"": 1, ""11001"": 4, ""11000"": 1}"
2433,"{""101"": 95, ""000"": 263, ""110"": 107, ""111"": 128, ""001"": 293, ""100"": 86, ""011"": 7, ""010"": 21}","{""100"": 61, ""001"": 328, ""110"": 106, ""101"": 65, ""000"": 343, ""111"": 97}"
3673,"{""11"": 160, ""01"": 384, ""00"": 436, ""10"": 20}","{""11"": 199, ""01"": 308, ""00"": 479, ""10"": 14}"
1444,"{""000"": 707, ""011"": 239, ""111"": 2, ""100"": 10, ""101"": 7, ""001"": 11, ""010"": 22, ""110"": 2}","{""000"": 710, ""011"": 290}"
3768,"{""101"": 560, ""100"": 55, ""111"": 152, ""001"": 113, ""011"": 87, ""010"": 4, ""110"": 22, ""000"": 7}","{""110"": 13, ""101"": 650, ""111"": 141, ""001"": 113, ""011"": 36, ""100"": 36, ""000"": 10, ""010"": 1}"
3705,"{""00"": 615, ""01"": 59, ""10"": 320, ""11"": 6}","{""00"": 566, ""10"": 389, ""01"": 38, ""11"": 7}"
3794,"{""0010"": 148, ""0110"": 427, ""1110"": 251, ""1111"": 22, ""0000"": 24, ""0001"": 8, ""1011"": 5, ""0100"": 44, ""0101"": 11, ""0011"": 6, ""0111"": 17, ""1010"": 9, ""1000"": 8, ""1101"": 5, ""1100"": 8, ""1001"": 7}","{""1110"": 284, ""0110"": 481, ""0010"": 192, ""0100"": 7, ""0000"": 15, ""1000"": 21}"
2707,"{""00"": 183, ""11"": 691, ""01"": 106, ""10"": 20}","{""11"": 711, ""01"": 100, ""00"": 183, ""10"": 6}"
3210,"{""0111"": 14, ""0100"": 193, ""1110"": 9, ""0001"": 203, ""0000"": 249, ""0101"": 217, ""0110"": 20, ""0010"": 12, ""1101"": 17, ""1111"": 13, ""1000"": 15, ""1011"": 6, ""1010"": 11, ""0011"": 11, ""1001"": 5, ""1100"": 5}","{""0000"": 259, ""0001"": 239, ""0101"": 257, ""0100"": 245}"
544,"{""110"": 375, ""101"": 9, ""100"": 359, ""010"": 131, ""000"": 113, ""011"": 4, ""111"": 6, ""001"": 3}","{""100"": 396, ""110"": 398, ""010"": 101, ""000"": 105}"
3854,"{""0010"": 484, ""1010"": 215, ""0011"": 58, ""1110"": 18, ""0110"": 35, ""1101"": 25, ""1000"": 26, ""1111"": 19, ""1011"": 18, ""0101"": 6, ""1001"": 5, ""0001"": 19, ""0111"": 12, ""0100"": 7, ""0000"": 47, ""1100"": 6}","{""0010"": 515, ""1010"": 485}"
2455,"{""11"": 349, ""00"": 521, ""01"": 119, ""10"": 11}","{""11"": 418, ""00"": 472, ""01"": 100, ""10"": 10}"
3400,"{""10"": 424, ""11"": 370, ""00"": 106, ""01"": 100}","{""10"": 406, ""11"": 402, ""01"": 83, ""00"": 109}"
753,"{""0000"": 833, ""1001"": 6, ""1000"": 67, ""0001"": 41, ""1011"": 1, ""0011"": 2, ""1100"": 4, ""1110"": 4, ""0100"": 17, ""0101"": 5, ""1010"": 2, ""1111"": 2, ""0110"": 3, ""1101"": 3, ""0010"": 9, ""0111"": 1}","{""0000"": 1000}"
3539,"{""011"": 153, ""110"": 96, ""100"": 155, ""010"": 126, ""000"": 146, ""001"": 116, ""111"": 102, ""101"": 106}","{""010"": 111, ""111"": 129, ""001"": 138, ""101"": 135, ""011"": 134, ""000"": 105, ""100"": 135, ""110"": 113}"
2609,"{""11"": 448, ""00"": 523, ""10"": 15, ""01"": 14}","{""00"": 504, ""11"": 496}"
3642,"{""011"": 171, ""111"": 96, ""000"": 256, ""001"": 208, ""010"": 122, ""110"": 114, ""101"": 11, ""100"": 22}","{""111"": 154, ""001"": 239, ""011"": 157, ""000"": 240, ""010"": 106, ""110"": 104}"
1864,"{""0100"": 353, ""0000"": 245, ""0110"": 161, ""1100"": 33, ""0010"": 113, ""1000"": 27, ""0101"": 8, ""0001"": 1, ""1110"": 17, ""1001"": 11, ""1010"": 4, ""1111"": 4, ""0111"": 5, ""0011"": 2, ""1101"": 12, ""1011"": 4}","{""1111"": 3, ""0110"": 199, ""0000"": 226, ""1000"": 24, ""0100"": 385, ""0010"": 86, ""1010"": 9, ""1110"": 22, ""1001"": 4, ""1100"": 38, ""1101"": 3, ""1011"": 1}"
2660,"{""0000"": 61, ""0001"": 146, ""1001"": 240, ""0111"": 20, ""0011"": 92, ""1111"": 54, ""1011"": 126, ""1110"": 14, ""0101"": 14, ""1000"": 115, ""1101"": 15, ""1100"": 36, ""1010"": 21, ""0110"": 20, ""0010"": 12, ""0100"": 14}","{""0001"": 185, ""1001"": 232, ""1111"": 75, ""1110"": 14, ""0011"": 114, ""1100"": 24, ""1000"": 115, ""0000"": 95, ""1011"": 120, ""0111"": 15, ""0110"": 4, ""0100"": 7}"
3330,"{""111"": 897, ""011"": 38, ""110"": 37, ""001"": 3, ""100"": 8, ""101"": 14, ""000"": 2, ""010"": 1}","{""111"": 978, ""110"": 18, ""010"": 3, ""011"": 1}"
208,"{""100"": 22, ""000"": 908, ""101"": 11, ""010"": 10, ""111"": 26, ""001"": 17, ""011"": 4, ""110"": 2}","{""000"": 1000}"
750,"{""11"": 875, ""01"": 107, ""10"": 13, ""00"": 5}","{""11"": 858, ""01"": 142}"
2067,"{""0000"": 895, ""0010"": 11, ""1000"": 17, ""1011"": 7, ""1010"": 6, ""1001"": 5, ""0101"": 2, ""0001"": 19, ""0100"": 22, ""1100"": 4, ""0111"": 2, ""0011"": 2, ""1110"": 3, ""1111"": 2, ""0110"": 2, ""1101"": 1}","{""0000"": 1000}"
1947,"{""10010"": 377, ""11011"": 3, ""10001"": 25, ""00001"": 42, ""10000"": 441, ""00011"": 38, ""11010"": 12, ""10011"": 12, ""00101"": 1, ""11110"": 3, ""10110"": 8, ""00000"": 8, ""01011"": 2, ""11000"": 10, ""10111"": 4, ""00010"": 4, ""11100"": 2, ""10100"": 5, ""00111"": 2, ""11101"": 1}","{""00011"": 38, ""10010"": 463, ""00001"": 41, ""10000"": 458}"
3096,"{""11"": 669, ""00"": 109, ""10"": 104, ""01"": 118}","{""11"": 683, ""00"": 89, ""10"": 117, ""01"": 111}"
2867,"{""10001"": 591, ""11001"": 47, ""10011"": 93, ""00000"": 46, ""00010"": 7, ""00001"": 45, ""10000"": 64, ""00100"": 4, ""00011"": 14, ""10010"": 16, ""11011"": 10, ""01010"": 2, ""11100"": 3, ""01011"": 3, ""01100"": 2, ""01001"": 7, ""10101"": 4, ""11000"": 9, ""01101"": 5, ""01000"": 7, ""10100"": 4, ""11010"": 1, ""11101"": 3, ""11111"": 5, ""11110"": 1, ""00110"": 1, ""10110"": 2, ""10111"": 1, ""01111"": 1, ""00111"": 2}","{""00000"": 40, ""10001"": 858, ""00010"": 4, ""10011"": 98}"
1318,"{""111"": 841, ""110"": 32, ""000"": 2, ""101"": 30, ""010"": 79, ""011"": 15, ""100"": 1}","{""111"": 913, ""010"": 87}"
240,"{""01"": 595, ""00"": 402, ""11"": 3}","{""00"": 384, ""01"": 616}"
1221,"{""1100"": 288, ""1110"": 7, ""0101"": 110, ""0100"": 424, ""0001"": 10, ""1101"": 85, ""0000"": 13, ""1011"": 5, ""0011"": 11, ""1001"": 6, ""1000"": 12, ""0110"": 6, ""1111"": 7, ""0111"": 4, ""1010"": 7, ""0010"": 5}","{""0100"": 409, ""1101"": 95, ""1100"": 414, ""0101"": 82}"
1178,"{""001"": 324, ""010"": 110, ""000"": 475, ""011"": 66, ""101"": 10, ""100"": 10, ""110"": 4, ""111"": 1}","{""010"": 87, ""001"": 377, ""000"": 460, ""011"": 76}"
130,"{""110"": 459, ""100"": 493, ""101"": 16, ""000"": 15, ""010"": 9, ""111"": 7, ""011"": 1}","{""100"": 482, ""110"": 518}"
3070,"{""01100"": 250, ""10000"": 5, ""01000"": 319, ""11001"": 71, ""00001"": 9, ""11110"": 1, ""01101"": 44, ""00011"": 5, ""01010"": 28, ""01110"": 20, ""01001"": 22, ""11101"": 68, ""00100"": 26, ""00000"": 31, ""11100"": 14, ""11000"": 12, ""10110"": 6, ""11010"": 13, ""11111"": 6, ""01111"": 5, ""10101"": 7, ""11011"": 5, ""10100"": 9, ""01011"": 4, ""00110"": 3, ""00010"": 3, ""10010"": 2, ""10001"": 3, ""10011"": 2, ""00101"": 3, ""10111"": 2, ""00111"": 2}","{""00000"": 15, ""11001"": 82, ""01000"": 390, ""01100"": 416, ""10100"": 2, ""11101"": 86, ""00100"": 8, ""10000"": 1}"
421,"{""000"": 792, ""100"": 167, ""101"": 3, ""110"": 15, ""010"": 14, ""001"": 9}","{""000"": 791, ""110"": 25, ""100"": 176, ""010"": 8}"
370,"{""00101"": 300, ""00001"": 71, ""00000"": 511, ""00010"": 17, ""10111"": 4, ""01101"": 3, ""10000"": 10, ""00111"": 11, ""00100"": 28, ""00011"": 8, ""01001"": 2, ""10011"": 2, ""10101"": 6, ""00110"": 9, ""10001"": 1, ""10100"": 2, ""01000"": 6, ""01111"": 2, ""10110"": 1, ""11101"": 3, ""01010"": 1, ""11010"": 1, ""10010"": 1}","{""00000"": 650, ""00101"": 350}"
861,"{""00"": 992, ""01"": 2, ""11"": 2, ""10"": 4}","{""00"": 1000}"
2646,"{""000"": 588, ""001"": 304, ""110"": 24, ""010"": 18, ""101"": 17, ""011"": 12, ""100"": 20, ""111"": 17}","{""001"": 333, ""000"": 667}"
2922,"{""10"": 934, ""11"": 30, ""01"": 20, ""00"": 16}","{""10"": 956, ""11"": 33, ""01"": 11}"
895,"{""00000"": 588, ""00010"": 67, ""00110"": 272, ""11000"": 6, ""01110"": 4, ""00100"": 9, ""10000"": 25, ""11010"": 1, ""10001"": 1, ""10010"": 4, ""11110"": 4, ""01000"": 8, ""00001"": 2, ""10110"": 5, ""10100"": 1, ""01010"": 3}","{""00000"": 669, ""00110"": 331}"
2634,"{""00"": 974, ""10"": 12, ""11"": 10, ""01"": 4}","{""00"": 999, ""01"": 1}"
2124,"{""110"": 453, ""111"": 418, ""100"": 66, ""101"": 55, ""011"": 5, ""001"": 1, ""010"": 2}","{""111"": 428, ""110"": 453, ""100"": 62, ""101"": 57}"
2776,"{""10"": 251, ""01"": 286, ""11"": 225, ""00"": 238}","{""01"": 231, ""10"": 280, ""00"": 230, ""11"": 259}"
1964,"{""01"": 509, ""11"": 465, ""00"": 15, ""10"": 11}","{""11"": 519, ""01"": 481}"
3455,"{""11"": 689, ""00"": 234, ""01"": 25, ""10"": 52}","{""11"": 756, ""00"": 209, ""10"": 30, ""01"": 5}"
2733,"{""10"": 683, ""01"": 249, ""00"": 22, ""11"": 46}","{""10"": 736, ""01"": 221, ""11"": 35, ""00"": 8}"
2696,"{""01"": 268, ""11"": 563, ""10"": 88, ""00"": 81}","{""11"": 566, ""01"": 306, ""10"": 51, ""00"": 77}"
248,"{""0000"": 426, ""1000"": 502, ""1100"": 19, ""1010"": 16, ""1011"": 2, ""0101"": 3, ""1110"": 1, ""1111"": 1, ""1001"": 8, ""0100"": 9, ""0010"": 6, ""1101"": 3, ""0001"": 4}","{""0000"": 409, ""1000"": 591}"
1757,"{""1000"": 245, ""1011"": 142, ""1010"": 252, ""1101"": 27, ""1001"": 122, ""0011"": 38, ""0000"": 35, ""0110"": 10, ""0101"": 8, ""0001"": 30, ""0111"": 6, ""1100"": 25, ""0100"": 9, ""1111"": 16, ""0010"": 29, ""1110"": 6}","{""1000"": 216, ""1010"": 214, ""1001"": 204, ""1100"": 33, ""0011"": 10, ""1011"": 252, ""0100"": 1, ""1101"": 19, ""0010"": 10, ""0001"": 10, ""1110"": 1, ""0000"": 12, ""1111"": 17, ""0101"": 1}"
3929,"{""011"": 347, ""111"": 130, ""100"": 15, ""001"": 403, ""101"": 25, ""110"": 32, ""010"": 23, ""000"": 25}","{""111"": 215, ""001"": 503, ""011"": 282}"
